AGI,dir,tp
AT1G32650,down,1 h
AT1G34280,down,1 h
AT1G34400,down,1 h
AT1G34560,down,1 h
AT1G35400,down,1 h
AT1G35614,down,1 h
AT1G35820,down,1 h
AT1G35900,down,1 h
AT1G36020,down,1 h
AT1G36230,down,1 h
AT1G37010,down,1 h
AT1G38950,down,1 h
AT1G42080,down,1 h
AT1G42700,down,1 h
AT1G43630,down,1 h
AT1G43680,down,1 h
AT1G43720,down,1 h
AT1G44010,down,1 h
AT1G44674,down,1 h
AT1G46336,down,1 h
AT1G47280,down,1 h
AT1G47470,down,1 h
AT1G47485,down,1 h
AT1G47813,down,1 h
AT1G48095,down,1 h
AT1G49260,down,1 h
AT1G49290,down,1 h
AT1G49800,down,1 h
AT1G50530,down,1 h
AT1G50800,down,1 h
AT1G51000,down,1 h
AT1G51970,down,1 h
AT1G53640,down,1 h
AT1G54300,down,1 h
AT1G54420,down,1 h
AT1G54700,down,1 h
AT1G54880,down,1 h
AT1G55220,down,1 h
AT1G57906,down,1 h
AT1G59535,down,1 h
AT1G62070,down,1 h
AT1G62080,down,1 h
AT1G62210,down,1 h
AT1G62220,down,1 h
AT1G62920,down,1 h
AT1G64340,down,1 h
AT1G65740,down,1 h
AT1G65760,down,1 h
AT1G67540,down,1 h
AT1G68875,down,1 h
AT1G69470,down,1 h
AT1G70040,down,1 h
AT1G70120,down,1 h
AT1G71470,down,1 h
AT1G72080,down,1 h
AT1G72580,down,1 h
AT1G75870,down,1 h
AT1G76910,down,1 h
AT1G77910,down,1 h
AT1G77960,down,1 h
AT1G78640,down,1 h
AT3G01250,down,1 h
AT3G01870,down,1 h
AT3G04270,down,1 h
AT3G04990,down,1 h
AT3G05080,down,1 h
AT3G06090,down,1 h
AT3G07710,down,1 h
AT3G09130,down,1 h
AT3G09140,down,1 h
AT3G11060,down,1 h
AT3G11860,down,1 h
AT3G12840,down,1 h
AT3G13370,down,1 h
AT3G15860,down,1 h
AT3G15910,down,1 h
AT3G16960,down,1 h
AT3G21980,down,1 h
AT3G23040,down,1 h
AT3G23850,down,1 h
AT3G24260,down,1 h
AT3G24690,down,1 h
AT3G24850,down,1 h
AT3G25200,down,1 h
AT3G26390,down,1 h
AT3G27410,down,1 h
AT3G27800,down,1 h
AT3G28020,down,1 h
AT3G28120,down,1 h
AT3G28190,down,1 h
AT3G28260,down,1 h
AT3G28280,down,1 h
AT3G28630,down,1 h
AT3G28780,down,1 h
AT3G28790,down,1 h
AT3G28810,down,1 h
AT3G28830,down,1 h
AT3G28870,down,1 h
AT3G28990,down,1 h
AT3G29080,down,1 h
AT3G29570,down,1 h
AT3G29790,down,1 h
AT3G29791,down,1 h
AT3G30220,down,1 h
AT3G30320,down,1 h
AT3G30370,down,1 h
AT3G30845,down,1 h
AT3G31350,down,1 h
AT3G31400,down,1 h
AT3G31910,down,1 h
AT3G31950,down,1 h
AT3G32050,down,1 h
AT3G32130,down,1 h
AT3G32150,down,1 h
AT3G32180,down,1 h
AT3G32190,down,1 h
AT3G32200,down,1 h
AT3G32960,down,1 h
AT3G42310,down,1 h
AT3G42380,down,1 h
AT3G42390,down,1 h
AT3G42780,down,1 h
AT3G42870,down,1 h
AT3G42940,down,1 h
AT3G42970,down,1 h
AT3G43250,down,1 h
AT3G43260,down,1 h
AT3G43280,down,1 h
AT3G43290,down,1 h
AT3G43410,down,1 h
AT3G43480,down,1 h
AT3G43500,down,1 h
AT3G43880,down,1 h
AT3G43900,down,1 h
AT3G43970,down,1 h
AT3G44210,down,1 h
AT3G44230,down,1 h
AT3G44580,down,1 h
AT3G44980,down,1 h
AT3G45200,down,1 h
AT3G45910,down,1 h
AT3G46240,down,1 h
AT3G47920,down,1 h
AT3G48220,down,1 h
AT3G48230,down,1 h
AT3G49305,down,1 h
AT3G49610,down,1 h
AT3G51020,down,1 h
AT3G52700,down,1 h
AT3G52830,down,1 h
AT3G55570,down,1 h
AT3G56180,down,1 h
AT3G56390,down,1 h
AT3G56610,down,1 h
AT3G57850,down,1 h
AT3G57900,down,1 h
AT3G58310,down,1 h
AT3G60560,down,1 h
AT3G60760,down,1 h
AT3G60920,down,1 h
AT3G61500,down,1 h
AT3G62350,down,1 h
AT3G62380,down,1 h
AT3G63020,down,1 h
AT3G63230,down,1 h
AT4G00280,down,1 h
AT4G01170,down,1 h
AT4G02000,down,1 h
AT4G02910,down,1 h
AT4G03160,down,1 h
AT4G03380,down,1 h
AT4G03580,down,1 h
AT4G03740,down,1 h
AT4G04730,down,1 h
AT4G04980,down,1 h
AT4G07740,down,1 h
AT4G08630,down,1 h
AT4G08740,down,1 h
AT4G08760,down,1 h
AT4G09440,down,1 h
AT4G09660,down,1 h
AT4G09850,down,1 h
AT4G09860,down,1 h
AT4G10210,down,1 h
AT4G10220,down,1 h
AT4G10230,down,1 h
AT4G11020,down,1 h
AT4G11300,down,1 h
AT4G11700,down,1 h
AT4G11940,down,1 h
AT4G13261,down,1 h
AT4G13263,down,1 h
AT4G14260,down,1 h
AT4G14530,down,1 h
AT4G15050,down,1 h
AT4G15060,down,1 h
AT4G15096,down,1 h
AT4G15650,down,1 h
AT4G15710,down,1 h
AT4G16040,down,1 h
AT4G16090,down,1 h
AT4G17700,down,1 h
AT4G17850,down,1 h
AT4G17930,down,1 h
AT4G18000,down,1 h
AT4G18080,down,1 h
AT4G18090,down,1 h
AT4G18310,down,1 h
AT4G18395,down,1 h
AT4G18500,down,1 h
AT4G18540,down,1 h
AT4G18680,down,1 h
AT4G18850,down,1 h
AT4G19095,down,1 h
AT4G19240,down,1 h
AT4G19480,down,1 h
AT4G19620,down,1 h
AT4G20290,down,1 h
AT4G20670,down,1 h
AT4G21950,down,1 h
AT4G22440,down,1 h
AT4G23080,down,1 h
AT4G23350,down,1 h
AT4G23370,down,1 h
AT4G23380,down,1 h
AT4G23970,down,1 h
AT4G24030,down,1 h
AT4G24410,down,1 h
AT4G25330,down,1 h
AT4G25510,down,1 h
AT4G26040,down,1 h
AT4G27930,down,1 h
AT4G28870,down,1 h
AT4G33600,down,1 h
AT4G34690,down,1 h
AT4G35210,down,1 h
AT4G35680,down,1 h
AT4G36170,down,1 h
AT4G36370,down,1 h
AT4G36510,down,1 h
AT5G01130,down,1 h
AT5G01140,down,1 h
AT5G02660,down,1 h
AT5G03750,down,1 h
AT5G03930,down,1 h
AT5G04030,down,1 h
AT5G05030,down,1 h
AT5G06010,down,1 h
AT5G07490,down,1 h
AT5G09940,down,1 h
AT5G10590,down,1 h
AT5G11220,down,1 h
AT5G11660,down,1 h
AT5G12460,down,1 h
AT5G15560,down,1 h
AT5G16090,down,1 h
AT5G17180,down,1 h
AT5G17950,down,1 h
AT5G19710,down,1 h
AT5G21110,down,1 h
AT5G22680,down,1 h
AT5G23180,down,1 h
AT5G24790,down,1 h
AT5G25000,down,1 h
AT5G25030,down,1 h
AT5G25200,down,1 h
AT5G25600,down,1 h
AT5G25870,down,1 h
AT5G25960,down,1 h
AT5G25990,down,1 h
AT5G26100,down,1 h
AT5G26890,down,1 h
AT5G26970,down,1 h
AT5G28090,down,1 h
AT5G28190,down,1 h
AT5G28410,down,1 h
AT5G28550,down,1 h
AT5G28690,down,1 h
AT5G28720,down,1 h
AT5G28730,down,1 h
AT5G28950,down,1 h
AT5G29070,down,1 h
AT5G34885,down,1 h
AT5G35230,down,1 h
AT5G35470,down,1 h
AT5G35510,down,1 h
AT5G35540,down,1 h
AT5G36080,down,1 h
AT5G36770,down,1 h
AT5G36980,down,1 h
AT5G37320,down,1 h
AT5G37430,down,1 h
AT5G37520,down,1 h
AT5G37650,down,1 h
AT5G37730,down,1 h
AT5G37920,down,1 h
AT5G38190,down,1 h
AT5G38370,down,1 h
AT5G38490,down,1 h
AT5G38500,down,1 h
AT5G39010,down,1 h
AT5G39200,down,1 h
AT5G39430,down,1 h
AT5G39870,down,1 h
AT5G39920,down,1 h
AT5G41530,down,1 h
AT5G41630,down,1 h
AT5G41640,down,1 h
AT5G41720,down,1 h
AT5G42955,down,1 h
AT5G46300,down,1 h
AT5G46380,down,1 h
AT5G46440,down,1 h
AT5G46810,down,1 h
AT5G46820,down,1 h
AT5G48210,down,1 h
AT5G48280,down,1 h
AT5G48420,down,1 h
AT5G49260,down,1 h
AT5G50500,down,1 h
AT5G50830,down,1 h
AT5G50880,down,1 h
AT5G50910,down,1 h
AT5G51090,down,1 h
AT5G51580,down,1 h
AT5G51650,down,1 h
AT5G52130,down,1 h
AT5G52975,down,1 h
AT5G53670,down,1 h
AT5G53690,down,1 h
AT5G53740,down,1 h
AT5G53790,down,1 h
AT5G54320,down,1 h
AT5G54410,down,1 h
AT5G54450,down,1 h
AT5G54480,down,1 h
AT5G54560,down,1 h
AT5G55010,down,1 h
AT5G55870,down,1 h
AT5G55880,down,1 h
AT5G56070,down,1 h
AT5G56770,down,1 h
AT5G57730,down,1 h
AT5G58880,down,1 h
AT5G59305,down,1 h
AT5G60000,down,1 h
AT5G60380,down,1 h
AT5G61605,down,1 h
AT5G61710,down,1 h
AT5G62400,down,1 h
AT5G66340,down,1 h
AT2G02440,down,1 h
AT2G02490,down,1 h
AT2G02515,down,1 h
AT2G02840,down,1 h
AT2G03180,down,1 h
AT2G04220,down,1 h
AT2G04370,down,1 h
AT2G04675,down,1 h
AT2G04810,down,1 h
AT2G04870,down,1 h
AT2G05360,down,1 h
AT2G05370,down,1 h
AT2G05500,down,1 h
AT2G06420,down,1 h
AT2G06570,down,1 h
AT2G07110,down,1 h
AT2G07280,down,1 h
AT2G07310,down,1 h
AT2G09970,down,1 h
AT2G10340,down,1 h
AT2G10560,down,1 h
AT2G11010,down,1 h
AT2G11620,down,1 h
AT2G12290,down,1 h
AT2G13450,down,1 h
AT2G13510,down,1 h
AT2G14390,down,1 h
AT2G14810,down,1 h
AT2G15360,down,1 h
AT2G15610,down,1 h
AT2G16020,down,1 h
AT2G16520,down,1 h
AT2G17960,down,1 h
AT2G18200,down,1 h
AT2G18610,down,1 h
AT2G18810,down,1 h
AT2G18830,down,1 h
AT2G18920,down,1 h
AT2G18930,down,1 h
AT2G19300,down,1 h
AT2G19420,down,1 h
AT2G20070,down,1 h
AT2G20150,down,1 h
AT2G20616,down,1 h
AT2G20620,down,1 h
AT2G20805,down,1 h
AT2G21030,down,1 h
AT2G21655,down,1 h
AT2G21820,down,1 h
AT2G22320,down,1 h
AT2G22520,down,1 h
AT2G22940,down,1 h
AT2G23040,down,1 h
AT2G23440,down,1 h
AT2G23920,down,1 h
AT2G24080,down,1 h
AT2G24470,down,1 h
AT2G24780,down,1 h
AT2G25565,down,1 h
AT2G26050,down,1 h
AT2G27320,down,1 h
AT2G27670,down,1 h
AT2G29605,down,1 h
AT2G29850,down,1 h
AT2G29880,down,1 h
AT2G30430,down,1 h
AT2G30690,down,1 h
AT2G30925,down,1 h
AT2G31720,down,1 h
AT2G33420,down,1 h
AT2G34110,down,1 h
AT2G34270,down,1 h
AT2G34800,down,1 h
AT2G35250,down,1 h
AT2G36550,down,1 h
AT2G36940,down,1 h
AT2G39160,down,1 h
AT2G39520,down,1 h
AT2G40955,down,1 h
AT2G41590,down,1 h
AT2G41990,down,1 h
AT2G43450,down,1 h
AT2G46360,down,1 h
AT2G02795,down,1 h
AT2G02835,down,1 h
AT2G04037,down,1 h
AT2G04041,down,1 h
AT2G04515,down,1 h
AT2G05752,down,1 h
AT2G06906,down,1 h
AT2G07215,down,1 h
AT2G10602,down,1 h
AT2G10975,down,1 h
AT2G11405,down,1 h
AT2G11462,down,1 h
AT2G11623,down,1 h
AT2G11626,down,1 h
AT2G12875,down,1 h
AT2G12935,down,1 h
AT2G12945,down,1 h
AT2G13125,down,1 h
AT2G16015,down,1 h
AT2G17305,down,1 h
AT5G13825,down,1 h
AT5G22170,down,1 h
AT5G22180,down,1 h
AT5G22190,down,1 h
AT5G24355,down,1 h
AT5G27606,down,1 h
AT5G28295,down,1 h
AT5G28820,down,1 h
AT5G28823,down,1 h
AT5G28885,down,1 h
AT5G30341,down,1 h
AT5G33393,down,1 h
AT5G33898,down,1 h
AT5G34881,down,1 h
AT5G34883,down,1 h
AT5G35604,down,1 h
AT5G35695,down,1 h
AT5G35945,down,1 h
AT5G42957,down,1 h
AT5G45573,down,1 h
AT5G48575,down,1 h
AT5G50115,down,1 h
AT5G51105,down,1 h
AT5G53905,down,1 h
AT5G54062,down,1 h
AT5G54067,down,1 h
AT4G01245,down,1 h
AT4G01535,down,1 h
AT4G03165,down,1 h
AT4G05523,down,1 h
AT4G07675,down,1 h
AT4G07932,down,1 h
AT4G08025,down,1 h
AT4G08097,down,1 h
AT4G09775,down,1 h
AT4G09965,down,1 h
AT4G11385,down,1 h
AT4G15053,down,1 h
AT4G15056,down,1 h
AT1G02965,down,1 h
AT1G05615,down,1 h
AT1G07476,down,1 h
AT1G11145,down,1 h
AT1G16025,down,1 h
AT1G21323,down,1 h
AT1G21475,down,1 h
AT1G29355,down,1 h
AT1G35375,down,1 h
AT1G36925,down,1 h
AT1G36960,down,1 h
AT1G43415,down,1 h
AT1G43722,down,1 h
AT1G47495,down,1 h
AT1G48145,down,1 h
AT1G53265,down,1 h
AT1G59722,down,1 h
AT1G59835,down,1 h
AT1G59885,down,1 h
AT1G66045,down,1 h
AT1G66245,down,1 h
AT1G68845,down,1 h
AT1G71235,down,1 h
AT3G11300,down,1 h
AT3G13229,down,1 h
AT3G20155,down,1 h
AT3G24517,down,1 h
AT3G26616,down,1 h
AT3G28925,down,1 h
AT3G29385,down,1 h
AT3G29785,down,1 h
AT3G32904,down,1 h
AT3G33393,down,1 h
AT3G33494,down,1 h
AT3G42786,down,1 h
AT3G44115,down,1 h
AT3G44235,down,1 h
AT3G44935,down,1 h
AT3G48675,down,1 h
AT3G50373,down,1 h
AT3G53235,down,1 h
AT4G06490,down,1 h
AT1G40129,down,1 h
AT2G09388,down,1 h
AT2G26610,down,1 h
AT2G32905,down,1 h
AT2G35215,down,1 h
AT2G39975,down,1 h
AT2G42180,down,1 h
AT2G43745,down,1 h
AT2G43795,down,1 h
AT2G45380,down,1 h
AT3G23172,down,1 h
AT5G26640,down,1 h
AT5G29613,down,1 h
AT5G30520,down,1 h
AT2G03930,down,1 h
AT2G13126,down,1 h
AT2G14635,down,1 h
AT2G30985,down,1 h
AT2G31345,down,1 h
AT1G05085,down,1 h
AT1G53285,down,1 h
AT1G61097,down,1 h
AT3G05725,down,1 h
AT3G11405,down,1 h
AT3G49307,down,1 h
AT4G01985,down,1 h
AT4G27415,down,1 h
AT5G26805,down,1 h
AT5G35737,down,1 h
AT5G39630,down,1 h
AT2G23830,down,1 h
AT5G54460,down,1 h
AT4G35610,down,1 h
AT5G42640,down,1 h
AT4G12150,down,1 h
AT5G37220,down,1 h
AT5G41440,down,1 h
AT3G44785,down,1 h
AT1G48195,down,1 h
AT3G62850,down,1 h
AT3G43470,down,1 h
AT4G04775,down,1 h
AT5G61110,down,1 h
AT5G32613,down,1 h
AT4G05553,down,1 h
AT1G26320,down,1 h
AT3G03080,down,1 h
AT2G17785,down,1 h
AT1G64380,down,1 h
AT5G02550,down,2 h
AT5G66460,down,2 h
AT1G72520,down,2 h
AT5G08505,down,2 h
AT3G50320,down,2 h
AT5G35760,down,2 h
AT1G72820,down,2 h
AT1G28030,down,2 h
AT2G44800,down,2 h
AT1G50780,down,2 h
AT5G38120,down,2 h
AT5G09490,down,2 h
AT2G39590,down,2 h
AT3G28520,down,2 h
AT5G17740,down,2 h
AT5G17750,down,2 h
AT3G28415,down,2 h
AT4G27420,down,2 h
AT5G25320,down,2 h
AT4G03170,down,2 h
AT5G57720,down,2 h
AT1G08985,down,2 h
AT3G42723,down,2 h
AT1G49250,down,2 h
AT3G32280,down,2 h
AT5G07650,down,2 h
AT3G32400,down,2 h
AT5G20310,down,2 h
AT3G11680,down,2 h
AT1G50760,down,2 h
AT1G50770,down,2 h
AT5G18510,down,2 h
AT5G35810,down,2 h
AT5G04730,down,2 h
AT4G32630,down,2 h
AT1G59453,down,2 h
AT3G21880,down,2 h
AT4G10240,down,2 h
AT5G09780,down,2 h
AT1G10455,down,2 h
AT4G17580,down,2 h
AT4G05370,down,2 h
AT3G29740,down,2 h
AT4G01160,down,2 h
AT2G21235,down,2 h
AT5G35890,down,2 h
AT5G49250,down,2 h
AT4G12360,down,2 h
AT5G38160,down,2 h
AT5G38180,down,2 h
AT3G05440,down,2 h
AT5G44760,down,2 h
AT5G05120,down,2 h
AT5G27880,down,2 h
AT4G04404,down,2 h
AT3G01030,down,2 h
AT5G22990,down,2 h
AT5G61470,down,2 h
AT2G15740,down,2 h
AT5G15480,down,2 h
AT3G29340,down,2 h
AT3G45560,down,2 h
AT4G12210,down,2 h
AT2G24480,down,2 h
AT5G50640,down,2 h
AT1G58390,down,2 h
AT2G12880,down,2 h
AT2G15180,down,2 h
AT2G15185,down,2 h
AT1G04500,down,2 h
AT1G05290,down,2 h
AT2G33350,down,2 h
AT3G10116,down,2 h
AT2G01800,down,2 h
AT1G30060,down,2 h
AT2G34890,down,2 h
AT3G61720,down,2 h
AT2G21010,down,2 h
AT1G23250,down,2 h
AT5G62240,down,2 h
AT1G44478,down,2 h
AT5G56920,down,2 h
AT2G37435,down,2 h
AT2G39320,down,2 h
AT3G25850,down,2 h
AT5G16430,down,2 h
AT2G37810,down,2 h
AT3G05300,down,2 h
AT1G32720,down,2 h
AT5G51900,down,2 h
AT3G61035,down,2 h
AT1G32300,down,2 h
AT3G53050,down,2 h
AT3G52350,down,2 h
AT3G16680,down,2 h
AT4G21895,down,2 h
AT1G36095,down,2 h
AT2G05635,down,2 h
AT3G32330,down,2 h
AT5G28590,down,2 h
AT1G66420,down,2 h
AT4G00232,down,2 h
AT4G01260,down,2 h
AT2G01370,down,2 h
AT2G20613,down,2 h
AT5G41765,down,2 h
AT1G61700,down,2 h
AT4G19580,down,2 h
AT1G31530,down,2 h
AT1G49015,down,2 h
AT1G17615,down,2 h
AT4G21050,down,2 h
AT4G21040,down,2 h
AT1G54070,down,2 h
AT5G37870,down,2 h
AT5G37900,down,2 h
AT3G03272,down,2 h
AT3G27425,down,2 h
AT5G65370,down,2 h
AT3G23350,down,2 h
AT3G57970,down,2 h
AT3G11870,down,2 h
AT3G26820,down,2 h
AT2G29040,down,2 h
AT5G54820,down,2 h
AT2G07140,down,2 h
AT1G20735,down,2 h
AT1G12190,down,2 h
AT1G33020,down,2 h
AT3G16820,down,2 h
AT3G17530,down,2 h
AT3G22350,down,2 h
AT3G22720,down,2 h
AT1G67455,down,2 h
AT3G22421,down,2 h
AT1G12870,down,2 h
AT1G51290,down,2 h
AT4G04690,down,2 h
AT1G26510,down,2 h
AT1G31510,down,2 h
AT1G32600,down,2 h
AT1G46912,down,2 h
AT1G50470,down,2 h
AT1G59630,down,2 h
AT3G04250,down,2 h
AT3G06280,down,2 h
AT3G47130,down,2 h
AT3G47140,down,2 h
AT3G49440,down,2 h
AT3G52330,down,2 h
AT4G13060,down,2 h
AT5G39540,down,2 h
AT5G43550,down,2 h
AT5G62830,down,2 h
AT2G13630,down,2 h
AT5G44345,down,2 h
AT1G31163,down,2 h
AT1G53360,down,2 h
AT3G03405,down,2 h
AT1G11810,down,2 h
AT5G41490,down,2 h
AT3G25090,down,2 h
AT2G02660,down,2 h
AT3G23685,down,2 h
AT1G30790,down,2 h
AT1G30930,down,2 h
AT1G31090,down,2 h
AT3G18150,down,2 h
AT3G29830,down,2 h
AT3G49040,down,2 h
AT5G38570,down,2 h
AT3G28223,down,2 h
AT1G20800,down,2 h
AT1G27550,down,2 h
AT1G31080,down,2 h
AT1G53550,down,2 h
AT3G30430,down,2 h
AT1G54640,down,2 h
AT2G16810,down,2 h
AT1G32020,down,2 h
AT1G46840,down,2 h
AT1G46984,down,2 h
AT1G47300,down,2 h
AT1G47810,down,2 h
AT1G52490,down,2 h
AT1G53370,down,2 h
AT1G54550,down,2 h
AT1G56400,down,2 h
AT1G57580,down,2 h
AT1G60400,down,2 h
AT1G61060,down,2 h
AT1G66490,down,2 h
AT1G67130,down,2 h
AT3G19890,down,2 h
AT3G20690,down,2 h
AT3G23950,down,2 h
AT3G23970,down,2 h
AT3G44080,down,2 h
AT3G44090,down,2 h
AT3G44810,down,2 h
AT3G49450,down,2 h
AT3G60790,down,2 h
AT3G62230,down,2 h
AT4G11590,down,2 h
AT5G18160,down,2 h
AT5G36730,down,2 h
AT2G05970,down,2 h
AT2G14290,down,2 h
AT2G14710,down,2 h
AT2G15640,down,2 h
AT2G16300,down,2 h
AT2G19630,down,2 h
AT2G26850,down,2 h
AT2G38590,down,2 h
AT2G42730,down,2 h
AT2G16365,down,2 h
AT1G47915,down,2 h
AT1G59675,down,2 h
AT1G53815,down,2 h
AT4G00160,down,2 h
AT5G22670,down,2 h
AT5G56570,down,2 h
AT3G62440,down,2 h
AT2G27520,down,2 h
AT1G48400,down,2 h
AT1G16940,down,2 h
AT5G44960,down,2 h
AT3G13680,down,2 h
AT3G59610,down,2 h
AT4G19930,down,2 h
AT4G23580,down,2 h
AT4G39753,down,2 h
AT5G38670,down,2 h
AT5G39560,down,2 h
AT5G51250,down,2 h
AT2G29600,down,2 h
AT1G30710,down,2 h
AT1G30740,down,2 h
AT4G20800,down,2 h
AT1G19410,down,2 h
AT5G40750,down,2 h
AT5G11370,down,2 h
AT5G56325,down,2 h
AT5G56400,down,2 h
AT1G66310,down,2 h
AT3G49020,down,2 h
AT5G56430,down,2 h
AT5G56440,down,2 h
AT5G56452,down,2 h
AT5G38580,down,2 h
AT2G33796,down,2 h
AT5G26730,down,2 h
AT5G45180,down,2 h
AT1G61440,down,2 h
AT1G42190,down,2 h
AT3G61230,down,2 h
AT4G16220,down,2 h
AT5G03590,down,2 h
AT5G03810,down,2 h
AT5G03820,down,2 h
AT5G03980,down,2 h
AT5G42170,down,2 h
AT5G63170,down,2 h
AT2G19010,down,2 h
AT1G20135,down,2 h
AT1G48190,down,2 h
AT5G28180,down,2 h
AT2G29810,down,2 h
AT1G65210,down,2 h
AT4G12960,down,2 h
AT3G31402,down,2 h
AT1G35150,down,2 h
AT1G42710,down,2 h
AT3G29450,down,2 h
AT3G29763,down,2 h
AT3G29765,down,2 h
AT3G29638,down,2 h
AT1G27710,down,2 h
AT3G02670,down,2 h
AT4G33840,down,2 h
AT4G19750,down,2 h
AT5G17500,down,2 h
AT4G16550,down,2 h
AT4G16560,down,2 h
AT1G32910,down,2 h
AT5G23970,down,2 h
AT1G29780,down,2 h
AT2G21420,down,2 h
AT2G17160,down,2 h
AT5G59616,down,2 h
AT2G36260,down,2 h
AT1G73325,down,2 h
AT2G39030,down,2 h
AT5G15060,down,2 h
AT5G38760,down,2 h
AT3G24600,down,2 h
AT4G19470,down,2 h
AT5G49750,down,2 h
AT3G46350,down,2 h
AT1G33070,down,2 h
AT5G40070,down,2 h
AT5G55690,down,2 h
AT5G51860,down,2 h
AT1G48150,down,2 h
AT1G72350,down,2 h
AT1G23300,down,2 h
AT4G00350,down,2 h
AT2G34360,down,2 h
AT1G62410,down,2 h
AT4G32700,down,2 h
AT2G43730,down,2 h
AT3G44800,down,2 h
AT5G53960,down,2 h
AT5G20430,down,2 h
AT5G20440,down,2 h
AT2G44175,down,2 h
AT3G56520,down,2 h
AT3G60060,down,2 h
AT4G09360,down,2 h
AT4G27190,down,2 h
AT5G28660,down,2 h
AT5G27140,down,2 h
AT2G44070,down,2 h
AT1G60300,down,2 h
AT1G60340,down,2 h
AT3G20760,down,2 h
AT1G14800,down,2 h
AT2G05642,down,2 h
AT3G24330,down,2 h
AT3G49200,down,2 h
AT5G22490,down,2 h
AT1G11990,down,2 h
AT3G23770,down,2 h
AT1G63140,down,2 h
AT2G33845,down,2 h
AT5G07600,down,2 h
AT3G28490,down,2 h
AT4G05340,down,2 h
AT1G33830,down,2 h
AT1G33870,down,2 h
AT1G65780,down,2 h
AT1G65810,down,2 h
AT3G28610,down,2 h
AT4G08190,down,2 h
AT5G37030,down,2 h
AT5G37150,down,2 h
AT5G52090,down,2 h
AT5G66970,down,2 h
AT2G27570,down,2 h
AT2G30630,down,2 h
AT3G51690,down,2 h
AT3G51700,down,2 h
AT5G28780,down,2 h
AT5G41390,down,2 h
AT3G50808,down,2 h
AT4G40100,down,2 h
AT4G20100,down,2 h
AT1G29080,down,2 h
AT3G11350,down,2 h
AT2G41390,down,2 h
AT1G51910,down,2 h
AT5G38250,down,2 h
AT1G21245,down,2 h
AT4G15715,down,2 h
AT1G20750,down,2 h
AT3G06000,down,2 h
AT1G28040,down,2 h
AT2G35420,down,2 h
AT2G27940,down,2 h
AT1G53820,down,2 h
AT3G42830,down,2 h
AT2G38220,down,2 h
AT1G18770,down,2 h
AT1G21960,down,2 h
AT1G74620,down,2 h
AT1G77830,down,2 h
AT3G13228,down,2 h
AT3G14970,down,2 h
AT4G05350,down,2 h
AT4G12140,down,2 h
AT4G18110,down,2 h
AT5G05910,down,2 h
AT5G37280,down,2 h
AT5G41430,down,2 h
AT5G52150,down,2 h
AT5G67120,down,2 h
AT2G03000,down,2 h
AT2G15260,down,2 h
AT2G25360,down,2 h
AT2G29840,down,2 h
AT3G45555,down,2 h
AT3G43750,down,2 h
AT3G45540,down,2 h
AT3G45580,down,2 h
AT3G43180,down,2 h
AT2G25370,down,2 h
AT5G07225,down,2 h
AT3G52980,down,2 h
AT1G45100,down,2 h
AT5G03580,down,2 h
AT5G05720,down,2 h
AT5G53720,down,2 h
AT5G59860,down,2 h
AT2G14870,down,2 h
AT2G21690,down,2 h
AT2G14160,down,2 h
AT3G10845,down,2 h
AT3G25720,down,2 h
AT5G52480,down,2 h
AT1G47920,down,2 h
AT4G03630,down,2 h
AT3G59180,down,2 h
AT1G18790,down,2 h
AT5G66990,down,2 h
AT5G46025,down,2 h
AT3G22020,down,2 h
AT1G51900,down,2 h
AT3G15490,down,2 h
AT4G20220,down,2 h
AT3G04200,down,2 h
AT4G10290,down,2 h
AT5G66430,down,2 h
AT3G23460,down,2 h
AT3G44840,down,2 h
AT2G24620,down,2 h
AT3G43120,down,2 h
AT2G36210,down,2 h
AT4G19340,down,2 h
AT4G19360,down,2 h
AT5G03600,down,2 h
AT4G39020,down,2 h
AT3G16600,down,2 h
AT1G18050,down,2 h
AT1G20240,down,2 h
AT1G20290,down,2 h
AT1G20690,down,2 h
AT1G63280,down,2 h
AT5G44316,down,2 h
AT3G46840,down,2 h
AT4G10540,down,2 h
AT5G11940,down,2 h
AT5G45640,down,2 h
AT5G58820,down,2 h
AT5G39230,down,2 h
AT4G11340,down,2 h
AT5G17970,down,2 h
AT5G45230,down,2 h
AT1G31380,down,2 h
AT1G31400,down,2 h
AT3G22080,down,2 h
AT3G58240,down,2 h
AT3G58250,down,2 h
AT3G58260,down,2 h
AT3G58340,down,2 h
AT3G58360,down,2 h
AT3G58410,down,2 h
AT2G01790,down,2 h
AT2G15710,down,2 h
AT2G42460,down,2 h
AT2G42470,down,2 h
AT3G44805,down,2 h
AT2G06541,down,2 h
AT1G66960,down,2 h
AT1G47370,down,2 h
AT1G57850,down,2 h
AT1G60320,down,2 h
AT2G03030,down,2 h
AT2G03300,down,2 h
AT1G09665,down,2 h
AT4G19910,down,2 h
AT1G51210,down,2 h
AT3G01010,down,2 h
AT3G32090,down,2 h
AT1G80990,down,2 h
AT2G16490,down,2 h
AT4G01780,down,2 h
AT2G02550,down,2 h
AT5G42910,down,2 h
AT2G04750,down,2 h
AT2G07020,down,2 h
AT5G02730,down,2 h
AT2G38150,down,2 h
AT1G47780,down,2 h
AT1G52460,down,2 h
AT3G55190,down,2 h
AT5G22960,down,2 h
AT5G47350,down,2 h
AT1G52695,down,2 h
AT2G27240,down,2 h
AT5G13940,down,2 h
AT5G35830,down,2 h
AT5G50140,down,2 h
