TAIR_ID,gene_symbol,direction,root cap,meristem (QC),epidermis,cortex/endodermis,stele/vasculature
AT3G22360,AOX1B,up,0.0,0.279,0.0,0.0,0.0
AT5G22410,RHS18,up,0.0,2.595,0.0,0.0,0.0
AT5G67400,PRX73,up,0.318,4.951,0.0,0.0,0.108
AT5G24070,PER61,up,0.171,2.255,0.0,0.0,0.228
AT1G30870,PER7,up,0.445,4.359,0.795,0.0,0.59
AT5G17820,PER57,up,0.837,5.455,0.795,0.409,0.92
AT4G26010,PRX44,up,0.171,2.676,0.0,0.0,0.418
AT5G51930,,up,0.171,1.319,0.34,0.0,0.108
AT4G25310,,up,0.915,2.938,0.593,0.226,0.0
AT3G01190,PER27,up,0.0,3.878,0.0,1.019,0.753
AT4G37160,SKS15,up,2.355,5.07,0.34,1.187,0.713
AT2G23630,SKS16,up,1.831,4.981,1.232,1.759,1.122
AT5G44380,,up,0.171,2.791,0.963,1.107,0.443
AT4G29740,CKX4,up,0.171,2.72,1.536,0.0,0.0
AT3G46490,,up,0.318,3.924,2.012,1.513,0.0
AT2G43480,PER26,up,1.703,2.583,0.0,0.0,0.108
AT5G64100,PRX69,up,0.559,4.851,1.232,1.33,1.681
AT5G51060,RBOHC,up,0.171,3.186,0.795,2.09,0.19
AT1G50580,,up,0.445,1.917,0.34,1.568,0.19
AT2G46740,GULLO5,up,0.171,2.642,1.232,0.226,0.574
AT1G30730,,up,1.177,3.145,1.956,1.991,0.255
AT1G55290,,up,0.0,1.646,0.0,0.699,0.498
AT1G60740,,up,0.318,1.646,0.34,0.409,0.825
AT2G38960,AERO2,up,2.685,3.334,2.891,2.844,2.633
AT4G21850,MSRB9,up,7.319,7.705,7.265,7.857,4.088
AT1G49390,,up,2.373,2.203,0.0,1.33,0.418
AT5G17050,,up,3.009,3.958,3.854,4.378,3.18
AT4G23420,,up,2.262,3.051,2.012,2.386,2.269
AT5G08640,,up,3.927,5.145,5.904,6.179,2.717
AT3G56840,L-2HGDH,up,2.116,2.571,1.956,2.058,2.026
AT5G05270,,up,4.171,4.853,5.628,6.16,2.949
AT5G11540,GULLO3,up,0.987,1.478,0.0,0.409,1.308
AT4G21830,MSRB7,down,5.395,6.235,4.627,6.372,2.731
AT1G08830,SOD1,down,6.532,7.248,7.067,7.212,6.894
