,columella/root cap (+QC) (cl4),cortex/endodermis (cl2),cotyledon mesophyll (cl13),cotyledon mesophyll (cl3),epidermis (cl6),hypocotyl cortex (early) (cl5),hypocotyl cortex (late) (cl1),hypocotyl cortex (mid) (cl7),provasculature (cl12),provasculature: protophloem (cl15),provasculature: protoxylem (cl9),radicle apical meristem (cl14),radicle epidermis (cl10),unassigned (cl11),unassigned (cl8)
dev: Embryo_3DAP,0.6597815070677527,0.30025668843184694,0.254144373383785,0.278826391094544,0.14363682232465652,0.31221583010764564,0.14643398944202698,-0.03228059339854807,0.2576901829615121,0.27394578610568837,0.3018046390815349,0.17709754076587692,0.48012903639660726,-0.14720044592123457,-0.4091294008430166
dev: Embryo_5DAP,0.6667649135564436,0.26351674401468345,0.5136314810575485,0.4222436381276505,0.10968867108807893,0.2789753299940952,0.29896105397752354,0.2790112416576721,0.07594246192050727,0.2732981765797626,0.3233527141534512,0.2036753550255827,0.478920248572898,-0.1777715486437505,-0.2914332617439794
dev: Embryo_7DAP,0.4161525771609899,0.2980481560339008,0.44127841749507213,0.4121124143917037,0.08627044720900043,-0.35461390950960475,0.2741499292565807,0.1669602453275464,0.16290744103077226,0.22257271163444767,0.3611212906882444,0.13264387361711333,0.3390906286155354,0.01719273015229416,0.18894179355455026
dev: Endosperm_3DAP,0.6128167027371928,0.08750910613068387,0.5055583117489882,0.39451913853483545,-0.3654447473828553,0.16103072858244813,0.27186082753824803,0.28587439531206643,-0.03985545323350559,0.2084274257191881,0.1621343789525067,0.05511869967997072,0.11570181310680548,-0.3211188208783936,-0.453776256016455
dev: Endosperm_5DAP,0.5345301939653859,0.0969822504263453,0.3407823038814292,0.2851745132247069,-0.4343434882363976,-0.018513760537906265,0.15552638555635925,0.07727292020848332,-0.006863511025313018,0.1481015243534267,0.11967570416392363,0.047463389077822216,-0.10494184545181262,-0.26299550585803816,-0.3889373113377244
dev: Endosperm_7DAP,0.2656878903045248,0.17171438016909205,0.34930321987106716,0.252324114221837,-0.27101586018855833,-0.6759139810720798,0.12308802672916283,0.06962561299269467,0.15920303780761097,0.2865399369817495,0.3713819762464339,0.06217435103593549,-0.08361828906295378,-0.026118538133638847,0.1413724325849213
dev: Funiculus_3DAP,0.5288530318047155,0.5298305580443716,0.38878517951153935,0.3623311824333021,0.05618150848088634,-0.08878554162071525,0.19855274555902322,0.10131451976842631,0.3769270394124264,0.6778626525835977,0.5499477225145932,0.21830097935272072,0.6536189407946374,-0.16558737725573608,-0.4445811057943127
dev: Funiculus_5DAP,0.45207337202829095,0.3627123749360694,0.2529280180357864,0.22021148319299158,-0.08663979735027716,-0.19180910172404453,0.09993842711994895,0.02605053949830651,0.30938446321887847,0.5238781087014897,0.4004395012167207,0.10091333103603525,0.5711260616779293,-0.02087279053204826,-0.2619807960448407
dev: Ovule_3DAP,0.41967842029969604,0.2846745880803021,0.16620245222654004,0.1520583347537674,-0.11782398147999064,-0.35453768391986246,0.016938309015560978,-0.115592480308356,0.25311500762303696,0.29165597448833136,0.35549256938889257,0.08014824302668447,0.44838554582572954,-0.1334662341870897,-0.311403232400772
dev: Seed coat_3DAP,0.5408958987728094,0.4247890761135545,0.158897830030978,0.17062930684593638,-0.04121022504662918,-0.04711184091839485,0.034598830171078274,-0.11818909679791703,0.269516950358967,0.32689683019596977,0.30714010905775746,0.17274525351959613,0.4170810153138614,-0.20455949318454741,-0.48427226056047123
