Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h
gehring_L1_tissue::Embryo,1.0735215044606985,-1.423961384423734,-1.0830541006740886,1.381221032355166,-1.381000869818472,2.183421965455156,1.8679637078075866,1.1512374114086186,-0.9402749943089022,1.6739703810334414,1.026744325904093,-1.10437734617592,-1.322224557076125,1.066050763910322,-1.0306783983820518
gehring_L1_tissue::Endosperm,0.7119997370785248,-1.6136426095427796,-0.941016273065539,-1.009535072517134,-0.8237522999246571,1.28223572153528,0.9178207172685896,-1.296444042999067,-1.198203612092058,-1.212866283448111,0.8147901377861325,-1.6616532780925006,-1.2662155208697892,1.2721209837905403,1.3431997769925597
gehring_L1_tissue::Funiculus,0.7545480413643745,0.8565022059569433,-1.0330772941970487,0.977274693271446,-1.424484858362483,-1.472221337597361,0.7876496003952497,-0.64099398599682,0.9057341260299604,0.6178124580238277,1.2692885593859893,-1.035035166475325,0.7413186004829381,1.180464485213909,1.2343263763212209
gehring_L1_tissue::Ovule,1.5520001560760417,1.5887043199010105,0.6414975005658333,1.701404768001626,0.5756430033281607,-0.6607632920311837,-0.7117930880849032,-1.0698057838641792,0.7927836409271787,1.3873490965256252,0.8420251110272094,-1.529659459996763,0.9344072346355315,1.1256254197821312,0.9206720141031732
gehring_L1_tissue::Seed coat,1.2400573946362128,-1.532108966387992,-0.9797696439723776,-1.3609152666949351,-1.0527498115631455,-1.4709462164023692,-1.0893949381399803,1.0419587621475672,-1.027675205136674,-1.4923453107170925,1.5644059421087964,-1.576281192923364,1.0283109555266061,1.4382106072243113,0.8584384584840554
gehring_L2_celltype::CPT,1.2960036043935743,-1.5881274600863513,-1.002203408773941,-1.0988866645948938,-0.9425125890554228,-0.7868204817228909,1.3074032011307903,0.9362785213133433,-1.1145602212144177,-0.8052972902658049,1.351181510080848,-1.4312389335158968,0.9373651694960402,1.394957045871342,0.8892628304166766
gehring_L2_celltype::CZE,1.417306466149384,-1.3495602676120697,-1.171775609272013,1.3221360724083924,-1.2902786350109987,2.152870622773522,1.6612006564326975,0.9999367989981893,0.9071478179890048,1.6113881858221382,0.878086672506817,-1.2459530061076014,-1.1870602440986877,1.0161283146185012,-1.2290211877562511
gehring_L2_celltype::CZSC,-0.954247149814083,-1.419361431127745,-0.8685532603109474,1.294086484641927,-1.2339637765757667,-1.1602587698610194,-0.7184841153969329,0.6887991590177094,-0.6721053176884982,-0.78037335889624,-0.9825269963266041,-1.077095513659902,-0.6071299553966736,1.0418251804186212,1.0433025693873976
gehring_L2_celltype::EMB,1.0735215044606985,-1.423961384423734,-1.0830541006740886,1.381221032355166,-1.381000869818472,2.183421965455156,1.8679637078075866,1.1512374114086186,-0.9402749943089022,1.6739703810334414,1.026744325904093,-1.10437734617592,-1.322224557076125,1.066050763910322,-1.0306783983820518
gehring_L2_celltype::FUN,0.7545480413643745,0.8565022059569433,-1.0330772941970487,0.977274693271446,-1.424484858362483,-1.472221337597361,0.7876496003952497,-0.64099398599682,0.9057341260299604,0.6178124580238277,1.2692885593859893,-1.035035166475325,0.7413186004829381,1.180464485213909,1.2343263763212209
gehring_L2_celltype::MCE,1.2153014243709794,1.648346016508675,-1.57163048919772,0.9224944061895076,-0.8802370153909176,0.7947927541620378,1.104817494936791,1.425558682305664,1.3734189102486294,1.436503243304576,1.2474409607290673,-1.0310641184435212,1.0411571380825198,1.3011896073308347,1.0691355427975096
gehring_L2_celltype::OVL,1.5520001560760417,1.5887043199010105,0.6414975005658333,1.701404768001626,0.5756430033281607,-0.6607632920311837,-0.7117930880849032,-1.0698057838641792,0.7927836409271787,1.3873490965256252,0.8420251110272094,-1.529659459996763,0.9344072346355315,1.1256254197821312,0.9206720141031732
gehring_L2_celltype::PEN,-1.0451746051704254,-1.5841868863419477,-0.8343756260870634,-1.002760356204733,-0.7257611918275139,1.1774245105447887,-0.8053480881635924,-1.504864515947094,-1.5749642013741958,-1.6415218017669144,0.7295152969926371,-1.8104320601660755,-1.2991397772946351,1.0365099766421404,1.0226119814128558
gehring_L2_celltype::ii1,1.346170542590122,1.1266263874586242,-0.895299661422523,-1.5833425122451965,0.7522813500973292,0.9847083773184244,0.6490820981861474,-0.7331233044130804,-0.9054616011790071,-1.2459425507724793,1.8503085564251063,-1.8001630644108457,0.9059521140688194,1.3024266206615804,1.0554074434273766
gehring_L2_celltype::ii1',-1.1050249124830638,-1.1619770219929442,-0.8045126260940411,-1.100533551381044,-1.2694300755416597,0.8841715878318712,-1.3437857657312533,0.8810421343897162,0.7745394845701613,0.5299671249352991,-0.9098739573053597,-1.3071187611669264,0.7355149357496193,0.7356942760352817,0.7675041315379648
gehring_L2_celltype::ii2,-0.7516878085361115,0.9948914602986282,-1.0618469107467985,0.8990063814396582,-0.6393850546394125,-0.7491854376618702,0.729173482617795,0.9407291670881647,1.103903965740113,-0.8423123749245542,-1.253965274452139,-0.9314095217774282,0.7914393045819845,1.0092102834993653,0.4901652489728193
gehring_L2_celltype::oi1,0.9880804073653436,-1.1298467849221592,-0.8418118011329888,-1.2783317291494558,-0.7685959239088856,-0.875526517501944,-1.0132248278901452,0.9737484738787385,-1.0586238735513998,-1.5626516760237972,1.8235944016896803,-1.5824453110993446,0.9120474963052717,1.434681314457726,-0.6373485243335751
gehring_L2_celltype::oi2,1.3622873552609904,-1.6074349539226538,-1.0623518744106972,-1.4189911670902815,-1.2452070110197857,-0.6549242915239821,0.5953472109593567,-1.2199076176678405,-1.4912073927763838,-1.5704177297734958,1.38193990607354,-1.8597250843344424,1.1246070668945578,1.3215146589907876,1.3195472867334475
gehring_L3_state::1. EMB up proto,-1.1876737751664448,-1.7523211759743245,-1.2641115277666883,0.5370316142288799,-0.8177398538714169,-0.9555107425837684,0.5169965405538582,-1.090647122697132,-1.5643341404112345,-1.5140268357221278,1.9977230327821593,-1.7218682279869977,-0.8512446174506983,-1.6510654879922224,-1.2708607295386265
gehring_L3_state::1. EMB up proto I,-0.8113659066625023,-1.5920107575301243,-1.3257484099166408,0.7028344830278895,-1.360980837999683,-1.310791993947145,0.8808044273931224,-1.3186293682460137,-1.3882540887200054,-1.3308046227863144,1.9850303030251002,-1.5647009713061846,-1.250148935848768,-0.8734671581475791,-1.4631548187149415
gehring_L3_state::1. EMB upp proto,1.1025609516421782,-1.8260071258567767,-0.9882457754543812,0.9602665984900493,-1.3092905339249836,2.249426190383426,2.020034451805974,0.9694237919199976,-1.030876435234824,1.5885952956782472,-0.849668460851988,-1.213136382349093,-1.5206838461168608,0.8630182229207661,0.8207436221045442
gehring_L3_state::10. CZE cyst photo,1.2530543602871955,-1.2647125772438916,-1.3445194491114418,1.2595444153268414,-1.1733675742114271,2.062698451970717,1.562169480642051,0.9160891763092933,1.0884200032806375,1.3806673558813278,1.075589647242356,-1.3468572013812832,-1.233877660320513,1.1828204411840195,0.887438568740889
gehring_L3_state::10. CZE nodule,0.9922591911155648,-1.6652914233872926,-1.5497409465187584,1.4415452435908334,-0.7102183940450466,-0.9110362066809472,1.1938686922093513,1.0663881665860047,1.02290429267426,0.9772180477821671,1.1528523274521156,0.9072307101519264,0.7188126324577848,0.9840885028821159,0.8539100071600482
gehring_L3_state::10. PEN,1.159320645297618,-1.2586562781367208,-0.9910210845552,-1.1517589132774706,-1.0650725444287443,-0.8535437273975048,0.6567132969190093,0.8877038794415962,0.7930322241703672,-1.5158372856214304,1.0827762665166631,-1.2608767159202507,1.2448690370395652,1.1782075829673435,1.4399884535008716
gehring_L3_state::11. CZE cyst disacc,1.253780950851216,-0.9273199721154856,-1.2364560915192038,-0.8023790378946867,-0.8702943630588403,0.9200419853728966,0.9868539591434793,-0.890770155709471,1.3048739006848844,1.1243540972925459,-1.1404802926310837,-1.3839254290716847,-1.0035350375354908,1.1844826213067965,0.9936298689924695
gehring_L3_state::11. MCE,1.1140385879018515,1.0636613690920294,-1.0537166584373314,0.7094136012784679,-1.0188401694310996,-0.8061968669511326,-1.4076180056899872,1.036483784608124,-1.0008770774373397,0.9565425152704865,1.170903123972651,-1.3911078191591812,-0.9050134028578344,1.1485877910591127,0.7858478719967674
gehring_L3_state::11. PEN g2/m-phase,-1.1376430605282597,1.0946047211499528,1.1747169869123968,-1.2697389048952266,-1.3187088816392256,-1.52431458062245,-1.8702237083975923,-1.7831548057090074,-2.507791467829677,-2.3585890630451933,-1.2581350996583112,-2.0711961538855808,-1.449593959509339,0.8454320756494287,-1.229392219211417
gehring_L3_state::12. FUN hil,0.781248977148849,-0.7580963157582457,-1.0386253046830916,1.0503451916747364,-1.5312101164902887,-1.5639158473822987,0.7779681866426986,1.0338221059457429,1.0907346599392715,0.8979060547452998,1.152051926413391,-0.7944669378579152,0.8158222124816813,1.2042377876138977,1.13816451047553
gehring_L3_state::12. MCE_ESR shea promo,1.378875741545364,1.79525415219553,-1.6165124590748954,0.8899983451180966,-0.8828345070272345,0.8658212227606988,0.9788905585348291,1.3493585421072942,1.1201021231158648,1.361936341605413,1.3656641782332806,-1.0358992151078108,0.852927649490452,1.270969441802783,1.0049209209913768
gehring_L3_state::12. PEN gen I,-0.851228565107897,-1.2194455922004142,-0.5354838851176943,0.8039419256864957,-1.2890107384250242,-1.0761849263134522,-1.275560190309357,-1.8063074210916616,-2.139579852006223,-1.8774727406329692,-0.8456907831728877,-1.9595570755455358,-1.7939226600713323,0.7302141512415571,-1.2573859930574083
gehring_L3_state::13. FUN epid,0.9491791568693904,-1.6239305148830527,1.5930943986945856,-1.544765794949606,0.5229732738391754,-0.9327682682412256,-0.7250435408034472,-0.9185329747526837,0.6622954733385878,0.7244005105370125,1.4839812996901258,-1.4238867907516497,0.9332795017494718,1.1156754825018493,1.151915776499564
gehring_L3_state::13. MCE_ESR high pcd,1.065596137979795,1.2647577529862608,-1.5385084104304556,1.1568957687872634,-0.7265474399086536,0.941254416706755,1.1867724623810365,0.9592078895263461,1.3461364102924729,1.1651526788909796,-0.9969269331178674,-0.9641882041882951,-1.0223303951204334,0.9510170573123098,0.6787795588209162
gehring_L3_state::13. PEN g2/m-phase,-1.8533641108802776,0.8316669630239111,-0.9242867919317024,-1.8149091107335047,-1.6140917905076315,-1.9279004254600096,-1.9085112234280668,-1.92872146051022,-2.508415115375892,-2.244145507471404,-0.8450640176893475,-2.1047575744807183,-1.6941465278119807,1.0091900536329304,-1.5514252937270423
gehring_L3_state::14. FUN cc,-1.0982704689316758,-1.6311301610607738,0.9470820297993018,1.3942158698101952,-1.7774542091199652,-0.9605161768554834,0.8436645077300484,1.209717757516833,0.46024368887349953,-1.060775371406687,0.8787335335697273,-0.8732706715931459,0.9022624697177605,0.7225445510849916,0.6991542089160988
gehring_L3_state::14. MCE_ESR gen,1.234669142483645,1.2254053348223255,-1.242020061113352,1.3807248297726875,-1.0334568267362765,1.0400614480925836,0.9014726091935175,1.09434949637846,1.1397414314956822,1.0784992343371882,1.0468316632905048,-1.0935926176249244,-0.8835819605007187,1.2446882148212766,0.9897168117549396
gehring_L3_state::14. PEN gen II,0.7808554287764334,-0.9423707725187356,-0.9445669157785008,-1.1700829203292844,-1.0197520672236515,1.3170552363581736,1.2816787555975038,-0.8371921420721758,-0.8214475791933429,0.9488744535445512,0.9293931265685814,-0.9782564087772389,-1.005503338408674,0.8670309018588432,-0.8052610553815218
gehring_L3_state::15. OVL senes,1.5520001560760417,1.5887043199010105,0.6414975005658333,1.701404768001626,0.5756430033281607,-0.6607632920311837,-0.7117930880849032,-1.0698057838641792,0.7927836409271787,1.3873490965256252,0.8420251110272094,-1.529659459996763,0.9344072346355315,1.1256254197821312,0.9206720141031732
gehring_L3_state::15. PEN,0.86339283484845,-1.1482086708390709,-0.7917166706041283,1.1784231858286487,-0.7350294411362271,1.1337507929010198,0.9010964772714455,-0.9834507702278965,1.2279175003799254,0.830464138231351,0.9562828546806096,-1.142773928415638,-0.930791124950532,1.2220336731046673,1.0642340201929055
gehring_L3_state::15. PEN gen III,-0.7427324445139455,-0.6891755623580483,-1.1216272245556678,-1.1336047757307437,-0.9819918931402576,1.266052000288719,0.9097065130268366,-1.3371602974494108,-0.9602865199888526,-0.922985685154595,1.0574215024085387,-1.5293050828498866,-1.4632656490681093,1.1404421490388938,1.1542797048717215
gehring_L3_state::16. CPT pers nuc,0.9698209192905742,1.0969545604386393,-1.3022890490601724,1.078692298051765,-0.724756071296273,1.0333881899531454,1.4743239925630962,-0.9107378781691948,0.8168736658016372,1.1176709087860726,1.178018783474631,-0.7862156579368309,1.0980391106829046,1.3119131427996553,1.2853111535968906
gehring_L3_state::16. PEN dehyd,1.0765978605759392,1.1026927958269166,-1.042735084315741,1.6653489117938822,1.1581938626882933,1.2836542386080567,1.1499146716139659,-0.9586536215127706,1.0858906838770235,1.069213414525008,1.051536330936828,-1.1483125385869208,-1.0169259856034047,1.3474368876833172,1.190868778815933
gehring_L3_state::16. PEN s-phase,-1.203893941786563,-0.585495219725461,-0.558272174433963,-1.432623622830713,-0.8788349921075416,-0.7418902929478475,1.074964140468741,0.7681148451154335,-1.2811428333261021,0.9666033155105189,1.2730898284842,-1.1193359596915,-1.1458856117076206,0.6365754629118241,-1.0988823072747933
gehring_L3_state::17. CPT trans nuc,1.2162222739728517,-1.7232889114088914,-1.0484895131593752,-1.2868173433783263,-0.9756827531163724,-1.1438638211741312,-1.0899047798308317,0.7556934193784353,-1.0068995405416743,-1.2494520130787041,1.5421688251615782,-1.7598205400198095,1.0726361239808748,1.1457731285772736,1.0587744155320293
