TAIR_ID,gene_symbol,gene_name,NMF_shoot_late_log2,radicle_apical_meristem_spec_z
AT4G21830,MSRB7,METHIONINE SULFOXIDE REDUCTASE B7,-0.255,1.68
AT1G08830,SOD1,COPPER/ZINC SUPEROXIDE DISMUTASE 1,-0.155,1.3
