AGI,columella,merist 1,merist 2,merist 3,merist 4,merist 5,merist 6,elong 1,elong 2,matur 1,matur 2,matur 3,matur 4
AT3G22360,1.011,0.829,0.83,0.814,0.848,0.874,0.889,0.822,0.989,0.854,0.934,0.91,0.859
AT5G22410,1.036,0.776,0.692,0.715,0.759,0.87,0.911,1.946,1.213,1.808,1.357,1.144,0.965
AT5G67400,1.086,0.916,0.854,0.814,0.873,0.918,1.214,2.656,2.562,4.435,4.307,3.92,2.627
AT5G24070,1.024,2.027,1.152,1.345,1.167,0.97,1.05,0.921,0.998,0.903,0.923,0.95,0.911
AT1G30870,1.023,0.839,0.746,0.752,0.791,1.044,2.239,4.832,3.159,4.65,4.076,3.58,2.507
AT5G17820,1.13,0.779,0.742,0.751,0.938,1.67,2.346,4.569,2.395,3.646,3.823,3.562,2.525
AT4G26010,1.058,0.772,0.66,0.684,0.729,0.801,0.813,2.548,1.709,3.506,3.75,2.982,2.013
AT5G51930,1.009,0.778,0.685,0.754,0.83,0.858,0.845,0.735,0.96,0.774,0.741,0.755,0.763
AT3G01190,1.279,0.805,0.712,0.719,1.795,3.366,4.736,5.14,2.144,3.644,4.493,3.909,3.11
AT4G37160,1.01,3.1,2.164,1.901,1.329,1.058,0.772,0.709,0.843,0.725,0.688,0.681,0.698
AT2G23630,1.02,3.163,2.156,1.629,0.756,0.83,0.869,0.759,0.875,0.768,0.783,0.764,0.767
AT5G44380,1.049,1.451,0.968,1.714,1.651,1.764,2.569,2.963,2.045,3.108,3.77,3.794,3.365
AT4G29740,1.029,0.827,0.766,0.789,0.859,0.871,0.942,0.799,0.863,0.845,0.86,0.991,1.014
AT3G46490,1.004,0.861,0.804,0.819,0.921,0.911,1.05,0.946,1.157,0.845,0.88,0.959,0.885
AT2G43480,1.021,1.929,1.167,1.213,0.865,0.88,0.834,0.74,0.937,0.748,0.751,0.796,0.799
AT5G64100,1.316,0.834,0.711,0.741,1.302,1.744,2.538,3.85,2.503,4.548,5.108,4.775,4.089
AT5G51060,0.974,0.815,0.73,0.751,1.328,2.064,3.062,2.682,1.374,1.903,1.688,1.791,1.516
AT1G50580,0.982,0.802,0.756,1.094,1.206,1.12,0.973,0.882,0.821,0.762,0.739,0.737,0.735
AT2G46740,0.949,0.749,0.793,1.385,1.797,1.895,1.983,2.231,1.269,1.747,2.475,2.334,1.897
AT1G55290,1.018,0.852,0.786,0.835,0.883,0.958,1.025,1.695,1.106,1.157,1.151,1.076,1.032
AT1G60740,1.009,0.815,0.597,0.673,0.766,0.962,0.994,1.123,0.867,1.305,2.538,2.966,2.431
AT2G38960,0.948,1.042,1.253,1.283,1.264,1.132,1.057,1.049,0.99,1.034,1.056,1.034,0.945
AT4G21850,1.087,1.998,3.502,3.519,3.861,3.763,3.646,3.775,2.074,2.808,2.54,2.215,1.29
AT1G49390,0.972,1.535,1.11,0.956,0.832,0.823,0.8,0.838,0.908,0.996,1.095,1.198,1.334
AT5G17050,1.055,1.026,1.219,1.38,1.54,1.561,1.377,1.603,1.199,1.665,1.965,2.403,1.804
AT4G23420,0.994,1.046,0.994,0.91,0.874,0.867,0.862,0.99,0.983,1.044,1.521,2.081,1.786
AT5G08640,1.614,1.182,1.123,2.034,2.8,2.739,2.366,2.782,1.964,2.466,2.787,3.201,2.959
AT3G56840,0.991,1.052,1.184,1.243,1.176,1.078,1.357,1.195,1.073,1.224,1.279,1.301,1.241
AT5G05270,1.225,1.599,1.557,2.728,3.587,3.169,2.772,2.159,1.198,1.569,1.774,2.899,2.739
AT5G11540,0.996,0.909,0.798,0.901,1.139,1.427,1.446,1.658,1.262,1.293,1.323,1.364,1.29
AT4G21830,0.96,1.347,2.166,2.804,3.746,3.566,3.229,3.472,1.599,1.956,2.68,2.503,1.281
AT1G08830,1.515,4.672,4.958,5.227,5.022,4.996,4.89,5.796,4.039,5.454,5.671,5.691,5.022
