,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h,hypoxia_1pct,anoxia_0pct,submergence,gravitropism_12h,gravitropism_24h,phototropism
hypocotyl cortex (late) (cl1),-1.609499765387896,-1.107242195695039,1.0560801367571784,-1.1855470009093652,1.902225065956184,1.6676256713484603,0.6826947647938804,-1.0541664791161731,-0.6096328003630338,-2.0948997177604505,0.8720520315120843,0.8888971931024245,-0.4052259644074544,-1.1044666763751476,-0.8288555399277414,-1.476972456900746,-1.0046148066100753,-1.2278532951947647,-0.6384742430241924,0.6179830099921165,0.6344216009218284
radicle epidermis (cl10),0.9336075113186738,-1.5833234893223531,-1.1953012015264364,-1.0079483492102552,-0.6455830302284931,0.8567173240685312,-1.049012850689963,-0.4611332667260084,-1.6072416154193423,-1.1895186117420609,1.6339388770636378,-1.5171894233046794,0.958711277183668,1.1570735770458782,1.0466827621114572,0.9455773898470472,-1.008689298302568,-1.3471293651971386,-1.78891699318308,1.5857591936908766,0.9193053747065876
unassigned (cl11),1.4622544794436858,1.5079934882238353,-1.4583535863214794,1.8948509039234456,-1.8349239350080644,1.3796363803652556,1.7257978986297922,1.7556995679498628,1.4920505149008731,1.931556623145492,1.1556777001946403,1.37794494925889,1.2933308977262683,1.2232897212522629,1.0559112373651842,1.7712122303278606,1.4322515104624962,1.3860336918614058,-1.57038554196621,-1.3726912741747253,1.3559392971465678
provasculature (cl12),1.0246849353722531,-0.8260889548434408,-0.7505601090454794,1.3134150740295605,-1.012003920998839,0.7220307783208882,1.6660676732594035,0.8496649813876909,0.7152690655770094,1.6198271533964854,1.5283258746125756,0.9075026538761548,1.2128950224446573,-0.9182554959087984,-0.7791174274404153,1.3806299402034112,1.2352018625076144,1.8562646027016432,-0.9682052990103626,-1.4118627162994366,0.9441729768563244
cotyledon mesophyll (cl13),0.6494223092162641,-2.08766506964233,1.878740971713746,-2.133248304395803,-0.4254739411309073,-1.4132511215874357,-1.8825148436563048,-0.431564209527655,-1.2070799099451623,-2.0139986732235653,1.954885628229957,-1.3273064444008054,-0.4963927828356038,-1.894172537519328,-1.751641487472599,-0.882707576490274,-1.3017367130757689,-1.4863502588776931,-1.1365721012617926,0.8484386205201006,1.0054830605752962
radicle apical meristem (cl14),1.7461135527269716,0.7795442518723228,-1.5346337646244108,1.3296736583778366,-1.441338977094608,-1.3203897846167316,-0.9102801787489002,-1.7571229044489345,0.5482822399931379,-1.0280990884859025,1.3251637362079731,-1.6271535685739351,-1.4546327522317886,0.6883700268261964,0.8511970715644213,-1.0910335696756222,0.7038439951650194,1.0486200950158235,1.5378683567224736,-1.0885728542629367,0.6755907998975119
provasculature: protophloem (cl15),-0.8646402425782416,-1.5198367868166889,1.060767427495333,1.3641210321612156,-1.920956625004389,-1.5321238662803776,1.1091909750253972,1.190661259984244,-0.5159140817730263,0.8028370819909183,1.7717656726555646,-0.3472868242893491,1.545642256596035,0.4087877869130345,-1.1742926792503432,1.1463300432725017,0.8108072246755565,0.4903674089394688,-1.0880131282002357,1.4406710753215,-1.056591770583794
cortex/endodermis (cl2),1.4501208051640757,-1.0984896832088071,-1.1789437868344983,-0.820786931043522,0.9052973683886328,-0.7773920156512817,0.6579656016136143,-1.420335654484474,-1.1150331952761352,-0.9071111540622988,1.48854233028189,-1.628868584405475,-0.7185772073583035,-0.6414097538599308,1.202903217996248,-1.5365418126941746,-1.0434273314445546,1.7022379033421902,1.6476756465566134,-1.5476868483243835,-0.6862695375620631
cotyledon mesophyll (cl3),-1.953996134492216,-1.9194973449949944,1.1090300632365635,-1.6761187992622053,1.159935580623409,1.1173407385468788,-0.7355117489141728,-1.1079033881954368,-0.4757003412642894,-1.9595737139109368,1.3883135271478384,0.6955585447925903,0.4464981478307592,-1.3652312167006777,-1.3398483805668886,-1.8666488320005508,-0.7851252326053301,0.6432686675624598,-0.8955728499311814,-0.829703941072876,0.6996517307931598
columella/root cap (+QC) (cl4),0.6881301434867088,-1.6460744632040527,-0.7484531747059032,0.6303042553439802,-1.0912539182182242,-1.4325618082724487,-1.6166884754208104,-1.3400422757278714,-1.9514267095314,-2.108740280265318,2.2917025358584326,-1.9538009321801448,-1.3501667030462574,-1.835326559845436,-1.7390818035156002,-2.10643572756326,-1.3089782170418638,1.3614770650191546,-1.5972924562329374,1.312155284473319,0.9644875354602684
