AGI,phloem pole pericycle,protophloem/metaphloem,hair cell (trichoblast),xylem pole pericycle,protoxylem/metaxylem,phloem companion cell,stele (peri/xyl/phl),lateral root primordia
AT3G22360,0.779,0.838,0.901,0.781,0.75,0.737,0.884,0.694
AT5G22410,0.743,0.786,2.211,0.741,0.689,0.977,0.857,0.91
AT5G67400,0.894,0.959,3.737,0.935,1.368,1.75,0.905,1.454
AT5G24070,0.733,0.843,1.994,0.962,0.759,1.178,0.948,0.661
AT1G30870,0.745,1.027,4.92,0.786,0.611,1.866,0.794,1.866
AT5G17820,0.909,0.918,4.993,0.958,0.768,2.295,0.78,1.656
AT4G26010,0.906,0.852,3.367,0.777,0.633,1.962,0.753,1.437
AT5G51930,0.577,0.712,0.665,0.727,0.545,0.639,0.804,0.498
AT3G01190,1.077,0.777,5.198,0.949,0.68,2.785,0.898,1.76
AT4G37160,0.692,1.059,1.223,0.888,0.526,2.414,0.905,0.569
AT2G23630,0.696,0.998,1.005,0.921,0.624,1.876,0.995,0.628
AT5G44380,1.826,1.353,4.479,0.94,1.057,2.967,0.947,2.002
AT4G29740,0.612,0.691,0.793,0.753,0.58,0.634,0.796,0.55
AT3G46490,0.794,0.8,1.428,0.738,0.649,0.724,0.789,0.639
AT2G43480,0.614,0.66,0.666,0.761,0.593,1.163,0.766,0.513
AT5G64100,1.359,1.276,5.049,0.993,0.711,2.912,0.99,2.08
AT5G51060,1.545,0.879,4.211,1.106,0.68,1.702,0.883,1.342
AT1G50580,0.681,1.23,1.972,0.847,1.073,0.792,0.857,0.684
AT2G46740,0.637,0.617,3.416,0.824,0.473,1.082,0.765,1.39
AT1G55290,0.735,0.794,1.42,0.884,0.857,0.838,0.917,0.738
AT1G60740,1.004,1.024,1.206,0.708,0.536,2.261,0.74,1.302
AT2G38960,0.956,0.931,1.979,1.176,1.701,1.023,1.067,1.048
AT4G21850,2.185,1.345,4.635,2.63,0.832,3.452,1.419,2.974
AT1G49390,0.577,0.629,0.705,0.685,0.508,0.722,0.722,0.651
AT5G17050,2.587,1.096,2.386,2.067,1.701,2.106,1.242,2.647
AT4G23420,2.107,1.134,1.726,0.806,0.944,1.922,0.93,2.004
AT5G08640,2.396,1.083,2.744,3.061,2.118,1.767,1.236,1.489
AT3G56840,1.071,1.308,1.614,1.068,1.123,1.108,1.086,1.102
AT5G05270,2.399,1.27,2.025,2.43,2.765,1.493,1.549,1.428
AT5G11540,0.654,0.854,1.082,0.764,2.19,0.929,0.94,0.692
AT4G21830,3.316,1.487,4.676,3.433,0.976,3.802,2.121,3.455
AT1G08830,4.231,4.762,5.389,4.09,4.628,4.85,4.197,4.215
