ct,NMF_up_localization_z,NMF_down_localization_z
columella/root cap (+QC) (cl4),-0.47358091208755254,-0.11656509451034443
cortex/endodermis (cl2),1.9883910471204316,2.1509972984912267
cotyledon mesophyll (cl13),2.845218312284619,2.896937155135208
cotyledon mesophyll (cl3),-3.6097779481337557,-0.6760175860831893
epidermis (cl6),-3.339388971211128,-1.7170427432065491
hypocotyl cortex (early) (cl5),-2.2787837853446646,-1.1430976019135195
hypocotyl cortex (late) (cl1),-4.3369733676259825,-1.2952635361587412
hypocotyl cortex (mid) (cl7),-1.766001103477429,-1.674104911243575
provasculature (cl12),-0.16658264855138932,1.0109167264576469
provasculature: protophloem (cl15),-2.6515262001552777,-0.1550538452669535
provasculature: protoxylem (cl9),1.6512036403948518,-0.960223049875262
radicle apical meristem (cl14),7.9562655403947256,0.7591816818904147
radicle epidermis (cl10),-0.7281638247488789,0.8298710785763023
unassigned (cl11),-2.4562344359231396,-1.0823307427553588
unassigned (cl8),3.229056968329811,1.256487742860952
