Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h,hypoxia_1pct,anoxia_0pct,submergence,gravitropism_12h,gravitropism_24h
gehring_L1_tissue::Embryo,0.6279535810833933,0.1429168380138758,0.8713220498144256,0.2225448210786093,0.3375123721544045,0.0,0.0008780659134812,0.9071660482374768,0.6934814590026586,0.013712912051425,0.5436538806773981,0.4463452504573999,0.2697839073678,0.6200630715862504,0.5862856453433759,0.631648186431122,0.7367527173913044,0.1081992251527343,0.757444509230935,0.5066585440146207
gehring_L1_tissue::Endosperm,0.9201094260897474,0.0527643003064351,0.8454459747499591,0.4910815082411379,0.9319834286215436,0.2948635289060821,0.9514871696510528,0.4021631502780105,0.4169956693392699,0.233243872737376,0.8190176920090234,0.0189495817289397,0.330892043468641,0.6635073535735787,0.9371473306424556,0.4474513980245985,0.4672619047619047,0.1206447710957427,0.20310792764355956,0.40377199155524285
gehring_L1_tissue::Funiculus,0.8969779720352364,0.8262529832935561,0.7982258256017097,0.7077493768792993,0.2597877488177719,0.2418300653594771,1.0,1.0,0.9742647909216656,0.9918285836761276,0.2497633844992727,0.5095598845598845,1.0,0.6101478862719714,0.8305458686214504,0.0202593497462882,0.4525462962962963,1.0,0.30551171543037514,0.26274323682961553
gehring_L1_tissue::Ovule,0.1892997382198953,0.1200660914264732,1.0,0.0236969022444815,1.0,0.9803499786598378,0.92802979912199,0.7315438121469586,0.968106949103336,0.1457997692523568,0.7917225893409247,0.050730408575957,0.9610113500398038,0.6010541965130423,0.8409954396894828,0.013230595752678,0.1354166666666666,0.6588025451642103,0.19437607679054886,0.0513543599257885
gehring_L1_tissue::Seed coat,0.5342690413861879,0.075663213191303,0.801528456931223,0.1538765271519487,0.6775589028316591,0.2252570958453311,1.0,0.8761167404024547,0.6230822773732135,0.0592635630764761,0.0503951795915173,0.040336188992731,0.9950046330808944,0.92639545884579,0.9079705883454632,0.1087485086911216,0.9887267904509284,0.7453431966261079,0.7464015526333733,0.07078651685393259
gehring_L2_celltype::CPT,0.4974029751516662,0.0577964318354619,0.8093130021314969,0.3554547777210015,0.7737682832948422,0.924587789661319,0.3355224942475425,0.7725978340596281,0.5363044113056699,0.8708943468875795,0.166411889827604,0.1015309975590349,1.0,0.6574834437086093,0.8837844676930863,0.3711780554434253,0.9929413377192984,0.1681567575622112,0.7174431278787665,0.45303370786516856
gehring_L2_celltype::CZE,0.3311811988186334,0.1977516865157314,0.7402346575619918,0.27855950393513,0.3890578604420983,0.0,0.0183360823109317,0.8125063248439872,1.0,0.0295656411482373,0.7637992938782837,0.2700562457413399,0.3824979956177185,0.6630141628658976,0.3835163793453678,0.7446451314113697,1.0,0.0771867083892117,0.5602464489498604,0.7663962800309997
gehring_L2_celltype::CZSC,0.7345679012345678,0.1435674371893803,0.8940172341549616,0.2987775324465507,0.3917024084460574,0.5936679891898108,0.984080528579664,0.9504318341756766,1.0,0.8951571904160585,0.6687332188663155,0.4600650913051187,1.0,0.6468021204066615,0.7957498456395332,0.0381651800558021,0.2828125,1.0,0.18611042743457215,0.03972789115646259
gehring_L2_celltype::EMB,0.6279535810833933,0.1429168380138758,0.8713220498144256,0.2225448210786093,0.3375123721544045,0.0,0.0008780659134812,0.9071660482374768,0.6934814590026586,0.013712912051425,0.5436538806773981,0.4463452504573999,0.2697839073678,0.6200630715862504,0.5862856453433759,0.631648186431122,0.7367527173913044,0.1081992251527343,0.757444509230935,0.5066585440146207
gehring_L2_celltype::FUN,0.8969779720352364,0.8262529832935561,0.7982258256017097,0.7077493768792993,0.2597877488177719,0.2418300653594771,1.0,1.0,0.9742647909216656,0.9918285836761276,0.2497633844992727,0.5095598845598845,1.0,0.6101478862719714,0.8305458686214504,0.0202593497462882,0.4525462962962963,1.0,0.30551171543037514,0.26274323682961553
gehring_L2_celltype::MCE,0.5114181738854513,0.2032311364053607,0.0865100836202656,0.7886877158579997,0.858607980690757,0.8905931656995486,0.6080606450857577,0.710134508348794,0.6674554232993929,0.1154823093473583,0.2734326691001935,0.5050346964677183,0.9870410288923104,0.6372354727879301,0.8894384741299551,0.0223955396855227,0.5973419540229885,0.1612650871703174,0.91723625106228,0.0
gehring_L2_celltype::OVL,0.1892997382198953,0.1200660914264732,1.0,0.0236969022444815,1.0,0.9803499786598378,0.92802979912199,0.7315438121469586,0.968106949103336,0.1457997692523568,0.7917225893409247,0.050730408575957,0.9610113500398038,0.6010541965130423,0.8409954396894828,0.013230595752678,0.1354166666666666,0.6588025451642103,0.19437607679054886,0.0513543599257885
gehring_L2_celltype::PEN,0.5295685490588039,0.05681088574347,0.8929134793154333,0.4825980809629251,0.9727794068038508,0.4355555555555555,1.0,0.1556005788712011,0.0587717620049741,0.0286838091670457,0.903857073517776,0.0015239174117678,0.296513649342029,0.6484567171239357,0.8132462512933654,0.5586565102546911,0.6868146929824561,0.3379914870459272,0.6088640420971347,0.173798551678736
gehring_L2_celltype::ii1,0.3987812299072288,0.5398114450480027,0.8852568975539955,0.0708993357179356,1.0,0.7785941686367218,0.9974705105891452,1.0,0.7205021075433388,0.2116981476412081,0.00244682477942,0.0020953864411808,0.927721831734992,0.6683485756333438,0.80141728600913,0.519390279209862,0.6682787698412699,0.2239555233558902,0.45028743715059244,0.3759550561797753
gehring_L2_celltype::ii1',0.4705938697318008,0.3792981451450817,0.8894089907825232,0.3616210054636217,0.4153259456207425,0.8156270837121902,0.4313777659527293,0.7958331755707849,0.9772387371699004,0.9957566339947406,0.7355763136597209,0.2064343679089265,1.0,0.9743977876428208,0.9486545765102452,0.2495441125390761,0.7408144218489046,0.986712934893381,0.47289179793256214,0.5038982549541556
