ct,NMF2021_all_localization_z,NMF2021_down_localization_z
columella/root cap (+QC) (cl4),-0.13163545912209812,0.033982976127490114
cortex/endodermis (cl2),-2.8574845875702475,-2.620756468492478
cotyledon mesophyll (cl13),4.059133285842735,4.549535077461351
cotyledon mesophyll (cl3),-0.6021670405956757,-0.19056633323669964
epidermis (cl6),-3.2531982791736413,-3.2424485336164355
hypocotyl cortex (early) (cl5),0.5353800816469918,0.27477055150473045
hypocotyl cortex (late) (cl1),1.1368055350560182,1.33134162193677
hypocotyl cortex (mid) (cl7),1.7438024492288207,1.6091416330418937
provasculature (cl12),-5.526158405724592,-5.342834514653418
provasculature: protophloem (cl15),-2.79606526261099,-2.5135602670558232
provasculature: protoxylem (cl9),0.18957842432585176,0.2826203259771515
radicle apical meristem (cl14),0.12834798106759535,0.21395653150984778
radicle epidermis (cl10),-2.3726315234193747,-2.4537463919065754
unassigned (cl11),-2.9807722770429748,-3.335302266382504
unassigned (cl8),9.166709081069182,8.77918645755234
