Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy
gehring_L1_tissue::Embryo,0.6279535810833933,0.1429168380138758,0.8713220498144256,0.2225448210786093,0.3375123721544045,0.0
gehring_L1_tissue::Endosperm,0.9201094260897474,0.05276430030643514,0.8454459747499591,0.49108150824113794,0.9319834286215436,0.2948635289060821
gehring_L1_tissue::Funiculus,0.8969779720352364,0.8262529832935561,0.7982258256017097,0.7077493768792993,0.2597877488177719,0.2418300653594771
gehring_L1_tissue::Ovule,0.1892997382198953,0.12006609142647329,1.0,0.023696902244481545,1.0,0.9803499786598378
gehring_L1_tissue::Seed coat,0.5342690413861879,0.07566321319130308,0.801528456931223,0.15387652715194872,0.6775589028316591,0.22525709584533113
gehring_L2_celltype::CPT,0.49740297515166626,0.05779643183546199,0.8093130021314969,0.35545477772100154,0.7737682832948422,0.924587789661319
gehring_L2_celltype::CZE,0.3311811988186334,0.19775168651573144,0.7402346575619918,0.27855950393513,0.3890578604420983,0.0
gehring_L2_celltype::CZSC,0.7345679012345678,0.14356743718938034,0.8940172341549616,0.2987775324465507,0.39170240844605747,0.5936679891898108
gehring_L2_celltype::EMB,0.6279535810833933,0.1429168380138758,0.8713220498144256,0.2225448210786093,0.3375123721544045,0.0
gehring_L2_celltype::FUN,0.8969779720352364,0.8262529832935561,0.7982258256017097,0.7077493768792993,0.2597877488177719,0.2418300653594771
gehring_L2_celltype::MCE,0.5114181738854513,0.20323113640536075,0.0865100836202656,0.7886877158579997,0.858607980690757,0.8905931656995486
gehring_L2_celltype::OVL,0.1892997382198953,0.12006609142647329,1.0,0.023696902244481545,1.0,0.9803499786598378
gehring_L2_celltype::PEN,0.5295685490588039,0.05681088574347001,0.8929134793154333,0.4825980809629251,0.9727794068038509,0.43555555555555553
gehring_L2_celltype::ii1,0.3987812299072288,0.5398114450480027,0.8852568975539955,0.07089933571793561,1.0,0.7785941686367218
gehring_L2_celltype::ii1',0.4705938697318008,0.37929814514508176,0.8894089907825232,0.3616210054636217,0.41532594562074254,0.8156270837121902
gehring_L2_celltype::ii2,0.997672310798006,0.659537360014687,0.8694048204623709,0.8123615890429627,0.980895331573738,0.9356362572165909
gehring_L2_celltype::oi1,0.6792341568499128,0.40022617831606594,0.8898437410631556,0.20344821060201743,0.9675613894518545,0.8442977441760403
gehring_L2_celltype::oi2,0.42562104602966844,0.053021004111552694,0.905296306593383,0.12035069789957775,0.40542312768063343,0.9706912259853436
gehring_L3_state::1. EMB up proto,0.3649425287356322,0.02539033999708157,0.5765961633054599,0.9956475077510136,0.9181788188716595,0.8176054664289959
gehring_L3_state::1. EMB up proto I,0.9962027914614122,0.057833552215574686,0.578132685686178,0.9800788428894096,0.3346721558389396,0.37094629156010234
gehring_L3_state::1. EMB upp proto,0.6466637910518801,0.023803443747263973,0.8060188704556633,0.7156975462248402,0.3707192345760475,0.0
gehring_L3_state::10. CZE cyst photo,0.5112710878417684,0.27958226655877316,0.6034848083544591,0.33975818282996917,0.4758924447377103,0.0
gehring_L3_state::10. CZE nodule,0.6919069836176321,0.043904129578286884,0.10846040334481062,0.1724961401835139,0.9704826681072144,0.8417179564793328
gehring_L3_state::10. PEN,0.5964975119098156,0.2773618662724672,0.811983048923531,0.3236872163275121,0.6698726257246548,0.8328882755448221
gehring_L3_state::11. CZE cyst disacc,0.5279483823331991,0.6550540677536538,0.625860796851943,0.8429968819413305,0.8548778011826511,0.7965878644602048
gehring_L3_state::11. MCE,0.6483342682622788,0.57232028115083,0.877907385285644,0.9867164891023062,0.7040580666446717,0.906768525592055
gehring_L3_state::11. PEN g2/m-phase,0.4465907478359586,0.5252616118964567,0.6862763466042154,0.20439448134900354,0.37309115332045056,0.21925925925925926
gehring_L3_state::12. FUN hil,0.8899904121690044,0.8752946326640972,0.8422418975788382,0.5834153152078861,0.14846585285384362,0.3416399286987522
gehring_L3_state::12. MCE_ESR shea promo,0.4195104088755921,0.1404442812557371,0.06714215445154943,0.8162831954678014,0.8644671725503134,0.815960329816064
gehring_L3_state::12. PEN gen I,0.9364031975781657,0.32015631840070047,1.0,0.897097013541087,0.38007258330583965,0.7011764705882353
gehring_L3_state::13. FUN epid,0.7187965172980187,0.051627024660732525,0.08009367681498829,0.07173460162729452,0.9959463673214842,0.8396691622103387
gehring_L3_state::13. MCE_ESR high pcd,0.6367863975030206,0.37977150442727825,0.11448598130841123,0.43182940956015126,0.9828439458924447,0.8402689125295509
gehring_L3_state::13. PEN g2/m-phase,0.010855683269476373,0.8542849867047264,0.8591683173581846,0.02171691364333163,0.08476693217702785,0.002638146167557932
gehring_L3_state::14. FUN cc,0.4608496016541993,0.0525942757082404,0.8307962529274004,0.2339464583830193,0.010887495875948531,0.8217544658095348
gehring_L3_state::14. MCE_ESR gen,0.5283990040320153,0.4354952922972016,0.6264688200251408,0.21399753557516496,0.6926053728953817,0.6915602836879433
gehring_L3_state::14. PEN gen II,0.8795512227046354,0.6417923103316362,0.86096901131333,0.315174693408278,0.7130431774885324,0.2919148936170213
gehring_L3_state::15. OVL senes,0.1892997382198953,0.12006609142647329,1.0,0.023696902244481545,1.0,0.9803499786598378
gehring_L3_state::15. PEN,0.8127915939499709,0.39043418277330433,0.8871885171269792,0.40372019568037315,0.9821272141890124,0.509692671394799
gehring_L3_state::15. PEN gen III,0.9761633939974458,0.9440925549496232,0.8497424081600953,0.33356043831261,0.7308231606730453,0.3060170623907904
gehring_L3_state::16. CPT pers nuc,0.6874340665781042,0.5471674412762215,0.5248401377274963,0.5338748471363112,0.9635433850214451,0.6822531996413141
gehring_L3_state::16. PEN dehyd,0.6457587616198311,0.5650816963466128,0.8617238639373416,0.029676083515816406,1.0,0.30736012608353036
gehring_L3_state::16. PEN s-phase,0.38212005108556835,0.9854078505763899,1.0,0.12854496678589677,0.8499316585756704,0.9303344867358707
gehring_L3_state::17. CPT trans nuc,0.5252764370636999,0.030327350552069653,0.8770831283817019,0.19898981958256357,0.7331702838781862,0.6176559714795008
gehring_L3_state::17. CZSC plac phos,0.7844316730523626,0.7834194445172966,0.8312480436435182,0.23524184298093195,0.6784386201343183,0.2275840760546643
gehring_L3_state::17. PEN gen IV,0.6867797584420622,0.6609142647328805,0.8033423095200379,0.27614546073922674,0.9285673045199604,0.8123806146572105
gehring_L3_state::18. CZSC gen,0.7450301723078436,0.8439049017807968,0.8767975463672927,0.33603800451733284,0.3780589085200059,0.7107919531448943
gehring_L3_state::18. CZSC plac call,0.06668491151249772,0.6736578028712861,0.8820668644780477,0.3226424382517872,0.3982404047069174,0.7390490403349501
gehring_L3_state::18. FUN epid,0.741289145821214,0.8320689733983359,0.9281849483521889,0.29437355910644725,0.7838997030682944,0.7583705056301899
gehring_L3_state::19. CPT pers nuc,0.8926817462914486,0.28631659996709,0.8621211547920845,0.251272725604946,0.5702582745591156,0.8320107536308115
gehring_L3_state::19. CZSC plac phos,0.24832375478927202,0.05626268522080574,0.9641968131884512,0.3398208323396137,0.2708264599142197,0.44496732026143787
gehring_L3_state::19. ii1 basal cont PS,0.6758354408850239,0.39638401325801004,0.8496552172177932,0.06930506888770661,1.0,0.7319656457624372
gehring_L3_state::2. EMB low proto,0.6361765561372892,0.037450751495695316,0.13026725692736513,0.812640320073686,0.16573188166721656,0.0
gehring_L3_state::2. EMB up proto II,0.9952107279693486,0.04212488226788533,0.9037193131511871,0.9391926417986715,0.7190696139887826,0.3596672608437314
gehring_L3_state::20. CZSC plac call,0.021711366538952743,0.3343061432949074,0.4679156908665106,0.43990537939755625,0.734255971872738,0.835718825079439
gehring_L3_state::20. CZSC plac phos,0.9811234954913115,0.4035727725851913,0.8119498425237317,0.09979642942318831,0.39868290819427327,0.8424480095068331
gehring_L3_state::20. ii1 endothel,0.8683394303485926,0.8815586500177189,0.8190343208035161,0.32506244743745843,1.0,0.769283422459893
gehring_L3_state::21. CZSC plac call,0.06694338016177095,0.46624995439953304,1.0,0.334893189329154,0.4023639780241849,0.8444750596694766
