Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy,rad_100Gy_co60_90m_a,rad_100Gy_co60_1440m_a,rad_100Gy_co60_180m,rad_100Gy_co60_90m_b,rad_100Gy_co60_1440m_b,rad_100Gy_co60_90m_c,rad_100Gy_co60_1440m_c,rad_10cGy_cs137_24h,rad_100cGy_cs137_24h,hypoxia_1pct,anoxia_0pct,submergence,gravitropism_12h,gravitropism_24h,phototropism
gehring_L1_tissue::Embryo,1.0735215044606985,-1.423961384423734,-1.0830541006740886,1.381221032355166,-1.381000869818472,2.183421965455156,1.8679637078075864,1.1512374114086186,-0.9402749943089022,1.6739703810334414,1.026744325904093,-1.10437734617592,-1.322224557076125,1.066050763910322,-1.0306783983820518,1.026577347746824,1.029616454735088,-1.4844019115363485,-0.8988385342928912,1.0363970443504067,-0.7778548475606278
gehring_L1_tissue::Endosperm,0.7119997370785248,-1.6136426095427796,-0.941016273065539,-1.009535072517134,-0.8237522999246571,1.28223572153528,0.9178207172685896,-1.296444042999067,-1.198203612092058,-1.212866283448111,0.8147901377861325,-1.6616532780925006,-1.2662155208697892,1.2721209837905405,1.3431997769925597,1.2224379533753325,1.3767473040092302,-1.461282728014056,-1.3523218132089472,1.11755006088658,0.9882240274088177
gehring_L1_tissue::Funiculus,0.7545480413643745,0.8565022059569433,-1.0330772941970487,0.977274693271446,-1.424484858362483,-1.472221337597361,0.7876496003952497,-0.64099398599682,0.9057341260299604,0.6178124580238277,1.2692885593859893,-1.035035166475325,0.7413186004829381,1.180464485213909,1.2343263763212209,1.729318038298911,1.3388476817331076,0.7331339486497269,-1.2510143249068564,1.2473121683744497,1.1682449830656023
gehring_L1_tissue::Ovule,1.5520001560760417,1.5887043199010105,0.6414975005658333,1.701404768001626,0.5756430033281607,-0.6607632920311837,-0.7117930880849032,-1.0698057838641792,0.7927836409271787,1.3873490965256252,0.8420251110272094,-1.529659459996763,0.9344072346355315,1.1256254197821312,0.9206720141031732,1.8383314833611744,1.6404424853034658,-0.9314708828289388,1.32582029533517,1.5199912027901306,-0.6498041879548084
gehring_L1_tissue::Seed coat,1.2400573946362128,-1.532108966387992,-0.9797696439723776,-1.3609152666949351,-1.0527498115631455,-1.4709462164023692,-1.0893949381399803,1.0419587621475672,-1.027675205136674,-1.4923453107170923,1.5644059421087964,-1.576281192923364,1.028310955526606,1.4382106072243113,0.8584384584840554,-1.4166470440046468,-0.6627262916965373,1.2710192212377782,-0.893711558969515,-1.6086785324148456,-1.6187184888592792
gehring_L2_celltype::CPT,1.2960036043935743,-1.5881274600863513,-1.002203408773941,-1.0988866645948938,-0.9425125890554228,-0.7868204817228909,1.3074032011307903,0.9362785213133432,-1.1145602212144177,-0.8052972902658049,1.351181510080848,-1.4312389335158968,0.9373651694960402,1.394957045871342,0.8892628304166766,-1.135220930307674,0.6727167714671314,-1.396349294807135,0.8987770891797746,-1.199631370006241,-1.0414792474053045
gehring_L2_celltype::CZE,1.417306466149384,-1.3495602676120697,-1.171775609272013,1.3221360724083924,-1.2902786350109987,2.152870622773522,1.6612006564326975,0.9999367989981892,0.9071478179890048,1.6113881858221382,0.878086672506817,-1.2459530061076014,-1.1870602440986875,1.0161283146185012,-1.2290211877562511,-0.8682928258102482,-0.7752090751806199,-1.587225120263024,-1.0570228596395734,0.8742862442895104,1.0906356926372496
gehring_L2_celltype::CZSC,-0.954247149814083,-1.419361431127745,-0.8685532603109474,1.294086484641927,-1.2339637765757667,-1.1602587698610194,-0.7184841153969329,0.6887991590177094,-0.6721053176884982,-0.78037335889624,-0.982526996326604,-1.077095513659902,-0.6071299553966736,1.0418251804186212,1.0433025693873976,1.6448673909658096,1.499763225764304,0.9263372208718448,1.388077663804861,1.5961915534202231,0.8169687464212694
gehring_L2_celltype::EMB,1.0735215044606985,-1.423961384423734,-1.0830541006740886,1.381221032355166,-1.381000869818472,2.183421965455156,1.8679637078075864,1.1512374114086186,-0.9402749943089022,1.6739703810334414,1.026744325904093,-1.10437734617592,-1.322224557076125,1.066050763910322,-1.0306783983820518,1.026577347746824,1.029616454735088,-1.4844019115363485,-0.8988385342928912,1.0363970443504067,-0.7778548475606278
gehring_L2_celltype::FUN,0.7545480413643745,0.8565022059569433,-1.0330772941970487,0.977274693271446,-1.424484858362483,-1.472221337597361,0.7876496003952497,-0.64099398599682,0.9057341260299604,0.6178124580238277,1.2692885593859893,-1.035035166475325,0.7413186004829381,1.180464485213909,1.2343263763212209,1.729318038298911,1.3388476817331076,0.7331339486497269,-1.2510143249068564,1.2473121683744497,1.1682449830656023
