cell_type,organ,n_families,families_hit
columella/root cap (+QC) (cl4),radicle,9,"gravity, tropism, low_oxygen, desiccation, osmotic, ethylene, temperature, uv, radiation"
unassigned (cl8),unassigned,8,"gravity, low_oxygen, desiccation, osmotic, ethylene, temperature, radiation, magnetic_NMF"
unassigned (cl11),unassigned,7,"gravity, tropism, low_oxygen, osmotic, uv, radiation, magnetic_NMF"
hypocotyl cortex (early) (cl5),hypocotyl,7,"low_oxygen, osmotic, ethylene, temperature, uv, radiation, magnetic_NMF"
hypocotyl cortex (mid) (cl7),hypocotyl,7,"gravity, low_oxygen, osmotic, ethylene, temperature, uv, radiation"
cotyledon mesophyll (cl13),cotyledon,7,"gravity, osmotic, ethylene, temperature, uv, radiation, magnetic_NMF"
hypocotyl cortex (late) (cl1),hypocotyl,6,"gravity, desiccation, ethylene, uv, radiation, magnetic_NMF"
cotyledon mesophyll (cl3),cotyledon,6,"gravity, low_oxygen, ethylene, uv, radiation, magnetic_NMF"
radicle apical meristem (cl14),radicle,6,"gravity, tropism, desiccation, temperature, radiation, magnetic_NMF"
radicle epidermis (cl10),radicle,5,"gravity, tropism, desiccation, uv, radiation"
provasculature: protophloem (cl15),provasculature,5,"gravity, desiccation, temperature, radiation, magnetic_NMF"
epidermis (cl6),hypocotyl,5,"tropism, desiccation, uv, radiation, magnetic_NMF"
cortex/endodermis (cl2),hypocotyl,5,"tropism, low_oxygen, desiccation, ethylene, radiation"
provasculature (cl12),provasculature,4,"low_oxygen, osmotic, uv, radiation"
provasculature: protoxylem (cl9),provasculature,4,"tropism, desiccation, ethylene, radiation"
