,columella/root cap (+QC) (cl4),cortex/endodermis (cl2),cotyledon mesophyll (cl13),cotyledon mesophyll (cl3),epidermis (cl6),hypocotyl cortex (early) (cl5),hypocotyl cortex (late) (cl1),hypocotyl cortex (mid) (cl7),provasculature (cl12),provasculature: protophloem (cl15),provasculature: protoxylem (cl9),radicle apical meristem (cl14),radicle epidermis (cl10),unassigned (cl11),unassigned (cl8)
dev: Embryo_3DAP,0.8319937439369615,0.4114341723658279,0.5075505471769978,0.46841408537320295,0.1817977993326374,0.4956915500279978,0.39180410740592453,0.28097246428114986,0.0017353715387762659,0.07534886485138294,0.1992181008969657,0.32225404526756446,0.3934042892776118,-0.5612191460723001,-0.34184109213184216
dev: Embryo_5DAP,0.8365548847285448,0.38294744830415,0.7264515831438689,0.6011960804278662,0.15422120512173396,0.4830269500227429,0.5283934905255961,0.5000649593480806,-0.141469164032765,0.07474018842732488,0.21866058964307794,0.3448921997466812,0.39250377301916717,-0.590607537802618,-0.24102754459283945
dev: Embryo_7DAP,0.672869990793401,0.4097217622356651,0.6654151767066163,0.5918161479034771,0.1351982293916853,0.2416300318495112,0.5061749011201065,0.4212015598108938,-0.07294682233218028,0.027064245786641353,0.25273858137939925,0.2843897960014891,0.2883342540068461,-0.4031858850515349,0.170441462331327
dev: Endosperm_3DAP,0.8013191605301728,0.24647797093589027,0.7196411287015556,0.5755275193309126,-0.23173682204455592,0.43809016524046984,0.504124989567967,0.5048953637751592,-0.23270984955443844,0.013769348624850585,0.07319582504809552,0.21835626719207898,0.12191525443170458,-0.7284091025071021,-0.3800837047693473
dev: Endosperm_5DAP,0.7501871250159851,0.25382307860624637,0.5806375414017889,0.4742914560432669,-0.2877043062506819,0.3696838798329227,0.3999464313935951,0.35807809294365095,-0.20671449877663467,-0.04292986973346657,0.03488603152840676,0.21183571202890294,-0.04245867286766537,-0.672534416991594,-0.32454540009949223
dev: Endosperm_7DAP,0.5745955137133018,0.3117674656295596,0.5878257109961853,0.44387711182610395,-0.15503081570573105,0.11921499976220043,0.37089758399648165,0.35269578788528705,-0.07586563385897156,0.08718587837945041,0.26199663634842507,0.22436605128441797,-0.026573164394304367,-0.4448215607508098,0.1296955545197181
dev: Funiculus_3DAP,0.7464791443974428,0.58943682259217,0.6211323440107527,0.545726493887251,0.11075653158730174,0.3429103957989738,0.4384769308072325,0.374998980162028,0.09568570309320218,0.4549829870534319,0.4231136967203088,0.35734985106578354,0.5226498661457107,-0.5788947381397986,-0.3722075270022229
dev: Funiculus_5DAP,0.6963312919507486,0.45985988274053624,0.506524440530823,0.41414582564767055,-0.005259364775671701,0.30365851404722705,0.35016690554463187,0.3220269090408221,0.04246686106480483,0.3102557127033669,0.28821478346083135,0.25736270800856587,0.4611947642713775,-0.4397787565434112,-0.21579980497767262
dev: Ovule_3DAP,0.6751728593133305,0.39935241775085717,0.4333635179299019,0.3510466433231918,-0.030590746904564866,0.24165907372917467,0.2758395396750824,0.222336139404504,-0.0018695477182684027,0.09199434905535912,0.24765987480573048,0.2396756527249858,0.369756194220579,-0.5480162728160173,-0.2581329789900288
dev: Seed coat_3DAP,0.7543448202484391,0.5079917426318686,0.4272014030553339,0.3682404660712567,0.03164376057752194,0.3587880374809788,0.2916546981031962,0.22050859649664997,0.011054039870705804,0.1251165888837622,0.2040322114206071,0.3185469025335522,0.34643511326990356,-0.6163591312260095,-0.4062052957355625
dev: Seed coat_5DAP,0.707789568817323,0.4203204605133559,0.4325726816643198,0.35759622575229055,-0.05195074186908238,0.287747897077759,0.28795087200248004,0.22562698609068424,-0.05447653599651661,0.13015668050797488,0.1656144971698827,0.301381928932537,0.2891211369027362,-0.6219259176536885,-0.37076658615688823
dev: Seed coat_7DAP,0.5957307844397246,0.35326472662572883,0.44407764167954467,0.3462193904203272,-0.14284201061371177,0.14548283534030615,0.27426633202828343,0.2251035038522017,-0.02778518867169575,0.18224688185844867,0.24388261170730377,0.23366140181216424,0.11678314149946671,-0.46447922539682795,-0.003733968190595005
