,columella/root cap (+QC) (cl4),cortex/endodermis (cl2),cotyledon mesophyll (cl13),cotyledon mesophyll (cl3),epidermis (cl6),hypocotyl cortex (early) (cl5),hypocotyl cortex (late) (cl1),hypocotyl cortex (mid) (cl7),provasculature (cl12),provasculature: protophloem (cl15),provasculature: protoxylem (cl9),radicle apical meristem (cl14),radicle epidermis (cl10),unassigned (cl11),unassigned (cl8)
emb: 1. EMB up proto I,1.2562664600921267,2.3794275978655093,1.6917422824695036,1.010368851923085,1.1627094144402925,1.1261992921045993,1.1472040894336943,1.4564119243961808,1.2009152655445838,2.9291212108449898,1.5194463491730552,1.7381351776105394,1.3464169804064452,-0.6902732714523461,-0.9948325940305772
emb: 1. EMB upp proto,-0.8693179091104788,0.08568328668131989,0.2596457021947144,0.6087377561091878,1.616528690362467,-0.8252829641658184,0.3002087137915151,0.256204014545784,0.44829226313047715,0.47815948867016894,0.8078249899507727,0.1828539342174235,1.3399662771161642,0.7163295345426349,0.8560311636137993
emb: 2. EMB low proto,0.6088025336658296,0.504755983895652,-0.3539794201845022,-0.33877105960788534,1.1293605789414107,0.8255511252704019,-0.3639874696383848,-0.18290545918715176,0.9614311985377254,0.15444047774125566,0.21897816173052564,0.3798269754630503,0.9497325103498645,1.0221796915707912,0.8686110299186788
emb: 2. EMB up proto II,1.2476816088491476,-0.12154878283071664,1.2665129566790703,0.9819117204305987,0.9619393843349189,1.2302195767273392,1.2538638329908844,1.5270174751226366,-0.6464159509541706,1.0294854535145779,-0.29137000636348337,0.4376144820669116,0.8789238875303588,-0.3937173048049697,-1.0673519747318254
emb: 3. EMB inn cotyl,-1.046461837457841,0.26988679877384425,0.7531424807729413,1.084857070412801,-0.5524633873373624,-1.141093707046217,0.9091921557667206,0.5107945035282061,-0.21323955897276942,-0.1864286669992585,0.3281890684006356,-0.9876411095373331,-0.6481506988668266,0.9321293886638072,0.8209720289941087
emb: 3. EMB low proto,0.8759957665269538,-1.4382164942066762,0.1459571425588391,-0.15311399270578546,0.6041302354387793,0.7862903155503943,-0.30732986306950016,0.21500314210296897,-1.0324679654919915,-0.8347258417062621,-0.5681219244273545,0.5019215333284742,1.0356469818810052,-1.2931829272334385,-1.271198478785824
emb: 4. EMB cort init,1.0112173518052026,-1.74360236474809,0.3415489991136517,0.0840034647759967,-0.915993693022011,1.0651000300459064,0.5488587063269932,0.36021700580770133,-2.445240744925603,-1.1850838485209008,-2.275849641758777,-1.2450181653574934,-1.2826578776631474,-1.3944745020493938,-1.3630330994374715
emb: 4. EMB unknown I,0.3957119003297607,0.4449505854499761,-2.639778919309921,-2.7068203473180037,0.04571487060308936,0.48674737203330015,-2.4961300318293413,-2.71946541320189,0.4853746118676452,-0.13001889126605448,-0.840663073735709,0.18789363081573146,0.5594038278247562,-1.4900866063333713,-1.4059952744465638
emb: 4. EMB vasc prim,-0.7780171500930678,0.3111318368195277,-0.7981936201505894,-0.9948408376977914,-1.4009523249999303,-1.0239092128931324,-0.9006144300546945,-0.7814409461090921,1.2848251217284719,0.025803182270721068,1.8841595235365445,-0.7138467968406464,-1.2149801828962834,1.2563352871999223,0.8613708710767852
emb: 5. EMB gro tiss init,-1.7734930499906494,-0.1498664998802323,-0.20529696561648603,-0.597592656133337,-1.2586716254291388,-1.8238289514198192,-0.8713958622386132,-0.23624588489820864,0.2395315236238783,-0.5291582663362382,0.23725056022534904,-0.9673523776856867,-1.1441204897028907,0.4187169288188224,0.8116690779696258
emb: 6. EMB cort init,-1.2033158366836965,0.8158469563636521,-0.20898112349772632,0.029718064751946972,-1.604292875661048,-0.8231140970504759,-0.23376241978957418,-0.4348199593290469,0.00354955992426218,-0.8801091260215558,-0.5105197121495765,-1.0190378834462033,-1.3601221975001665,-0.12431234409772252,0.8556235201236874
