Term,ug_root_dark,ug_root_light,ug_leaf_dark,ug_leaf_light,gcr_40cGy,gcr_80cGy
gehring_L1_tissue::Embryo,1.0735215044606985,-1.423961384423734,-1.0830541006740886,1.3812210323551661,-1.381000869818472,2.183421965455156
gehring_L1_tissue::Endosperm,0.7119997370785248,-1.6136426095427796,-0.941016273065539,-1.0095350725171341,-0.8237522999246571,1.28223572153528
gehring_L1_tissue::Funiculus,0.7545480413643745,0.8565022059569433,-1.0330772941970487,0.9772746932714459,-1.424484858362483,-1.472221337597361
gehring_L1_tissue::Ovule,1.5520001560760417,1.5887043199010105,0.6414975005658333,1.701404768001626,0.5756430033281607,-0.6607632920311837
gehring_L1_tissue::Seed coat,1.2400573946362128,-1.5321089663879919,-0.9797696439723775,-1.3609152666949353,-1.0527498115631457,-1.4709462164023692
gehring_L2_celltype::CPT,1.2960036043935745,-1.5881274600863513,-1.002203408773941,-1.0988866645948938,-0.9425125890554228,-0.7868204817228909
gehring_L2_celltype::CZE,1.417306466149384,-1.3495602676120695,-1.171775609272013,1.3221360724083924,-1.2902786350109987,2.152870622773522
gehring_L2_celltype::CZSC,-0.954247149814083,-1.419361431127745,-0.8685532603109474,1.294086484641927,-1.2339637765757667,-1.1602587698610194
gehring_L2_celltype::EMB,1.0735215044606985,-1.423961384423734,-1.0830541006740886,1.3812210323551661,-1.381000869818472,2.183421965455156
gehring_L2_celltype::FUN,0.7545480413643745,0.8565022059569433,-1.0330772941970487,0.9772746932714459,-1.424484858362483,-1.472221337597361
gehring_L2_celltype::MCE,1.2153014243709794,1.648346016508675,-1.57163048919772,0.9224944061895077,-0.8802370153909176,0.7947927541620378
gehring_L2_celltype::OVL,1.5520001560760417,1.5887043199010105,0.6414975005658333,1.701404768001626,0.5756430033281607,-0.6607632920311837
gehring_L2_celltype::PEN,-1.0451746051704254,-1.5841868863419475,-0.8343756260870634,-1.002760356204733,-0.7257611918275139,1.1774245105447887
gehring_L2_celltype::ii1,1.346170542590122,1.1266263874586242,-0.895299661422523,-1.5833425122451963,0.7522813500973292,0.9847083773184244
gehring_L2_celltype::ii1',-1.1050249124830638,-1.1619770219929442,-0.8045126260940411,-1.100533551381044,-1.2694300755416597,0.8841715878318712
gehring_L2_celltype::ii2,-0.7516878085361115,0.9948914602986282,-1.0618469107467983,0.8990063814396582,-0.6393850546394125,-0.7491854376618702
gehring_L2_celltype::oi1,0.9880804073653437,-1.1298467849221592,-0.8418118011329888,-1.2783317291494558,-0.7685959239088856,-0.875526517501944
gehring_L2_celltype::oi2,1.3622873552609904,-1.6074349539226538,-1.0623518744106972,-1.4189911670902817,-1.2452070110197855,-0.6549242915239821
gehring_L3_state::1. EMB up proto,-1.1876737751664448,-1.7523211759743245,-1.2641115277666883,0.5370316142288799,-0.8177398538714169,-0.9555107425837683
gehring_L3_state::1. EMB up proto I,-0.8113659066625023,-1.5920107575301243,-1.3257484099166408,0.7028344830278895,-1.360980837999683,-1.310791993947145
gehring_L3_state::1. EMB upp proto,1.1025609516421782,-1.8260071258567767,-0.9882457754543813,0.9602665984900491,-1.3092905339249836,2.249426190383426
gehring_L3_state::10. CZE cyst photo,1.2530543602871955,-1.2647125772438916,-1.3445194491114418,1.2595444153268414,-1.1733675742114273,2.062698451970717
gehring_L3_state::10. CZE nodule,0.9922591911155648,-1.6652914233872926,-1.5497409465187584,1.4415452435908334,-0.7102183940450466,-0.9110362066809471
gehring_L3_state::10. PEN,1.159320645297618,-1.2586562781367208,-0.9910210845551999,-1.1517589132774706,-1.0650725444287443,-0.8535437273975048
gehring_L3_state::11. CZE cyst disacc,1.2537809508512159,-0.9273199721154857,-1.2364560915192038,-0.8023790378946867,-0.8702943630588403,0.9200419853728966
gehring_L3_state::11. MCE,1.1140385879018517,1.0636613690920294,-1.0537166584373314,0.7094136012784679,-1.0188401694310996,-0.8061968669511326
gehring_L3_state::11. PEN g2/m-phase,-1.1376430605282595,1.0946047211499528,1.1747169869123968,-1.2697389048952266,-1.3187088816392256,-1.52431458062245
gehring_L3_state::12. FUN hil,0.781248977148849,-0.7580963157582457,-1.0386253046830916,1.0503451916747364,-1.5312101164902887,-1.5639158473822987
gehring_L3_state::12. MCE_ESR shea promo,1.3788757415453639,1.7952541521955299,-1.6165124590748954,0.8899983451180966,-0.8828345070272345,0.8658212227606988
gehring_L3_state::12. PEN gen I,-0.851228565107897,-1.2194455922004142,-0.5354838851176943,0.8039419256864957,-1.2890107384250242,-1.0761849263134522
gehring_L3_state::13. FUN epid,0.9491791568693904,-1.6239305148830527,1.5930943986945856,-1.544765794949606,0.5229732738391754,-0.9327682682412256
gehring_L3_state::13. MCE_ESR high pcd,1.0655961379797947,1.2647577529862608,-1.5385084104304556,1.1568957687872634,-0.7265474399086536,0.941254416706755
gehring_L3_state::13. PEN g2/m-phase,-1.8533641108802776,0.8316669630239111,-0.9242867919317025,-1.8149091107335047,-1.6140917905076315,-1.9279004254600098
gehring_L3_state::14. FUN cc,-1.0982704689316758,-1.6311301610607738,0.9470820297993018,1.3942158698101952,-1.7774542091199652,-0.9605161768554834
gehring_L3_state::14. MCE_ESR gen,1.2346691424836447,1.2254053348223257,-1.242020061113352,1.3807248297726875,-1.0334568267362765,1.0400614480925836
gehring_L3_state::14. PEN gen II,0.7808554287764334,-0.9423707725187357,-0.9445669157785007,-1.1700829203292844,-1.0197520672236515,1.3170552363581736
gehring_L3_state::15. OVL senes,1.5520001560760417,1.5887043199010105,0.6414975005658333,1.701404768001626,0.5756430033281607,-0.6607632920311837
gehring_L3_state::15. PEN,0.86339283484845,-1.1482086708390709,-0.7917166706041283,1.1784231858286487,-0.7350294411362271,1.1337507929010198
gehring_L3_state::15. PEN gen III,-0.7427324445139455,-0.6891755623580483,-1.1216272245556678,-1.1336047757307435,-0.9819918931402577,1.266052000288719
