tair_id,nmf_shoot_late_log2
AT1G01980,0.2284
AT1G02050,-0.0893
AT1G02590,0.2284
AT1G03990,0.2284
AT1G04580,0.2284
AT1G05240,0.8346
AT1G05250,0.7891999999999999
AT1G05260,0.52395
AT1G07890,-0.13360000000000002
AT1G08830,-0.15475
AT1G11770,1.3219
AT1G12520,-0.25685
AT1G12570,0.2284
AT1G14430,1.3219
AT1G14540,-0.22485000000000002
AT1G14550,-0.17395000000000002
AT1G15020,0.2284
AT1G15550,0.2284
AT1G17010,0.2284
AT1G18490,0.3145
AT1G19900,0.4504
AT1G20630,-0.08205000000000001
AT1G21850,1.3219
AT1G21860,0.4504
AT1G24110,1.2815
AT1G25460,0.2284
AT1G26380,0.2284
AT1G26390,-0.2553
AT1G26400,-0.2553
AT1G26410,-0.2553
AT1G28030,1.3219
AT1G30700,0.2284
AT1G30710,0.2284
AT1G30720,0.2284
AT1G30730,0.2284
AT1G30740,0.3145
AT1G30760,0.2284
AT1G30870,0.3651
AT1G31670,0.2284
AT1G31690,0.2284
AT1G32100,0.2987
AT1G32300,1.3219
AT1G32350,0.5657
AT1G32710,1.3219
AT1G33660,0.048000000000000015
AT1G34510,0.9357500000000001
AT1G34575,0.2284
AT1G48130,0.2284
AT1G48700,0.4504
AT1G48860,-0.0589
AT1G49390,0.4504
AT1G49570,0.192
AT1G50580,1.1309
AT1G50780,0.2284
AT1G50960,0.5657
AT1G52790,1.3219
AT1G52800,0.2284
AT1G52810,0.2284
AT1G55290,0.4504
AT1G55560,0.2284
AT1G55570,1.3219
AT1G60740,0.2284
AT1G60980,1.3219
AT1G61720,1.384
AT1G65970,0.2284
AT1G65990,1.3219
AT1G66390,1.6276
AT1G67270,0.4504
AT1G75280,-0.1203
AT1G75290,1.5753
AT1G75300,0.0426
AT1G75450,0.3145
AT1G75790,1.3219
AT1G77100,0.3103
AT2G06960,0.2284
AT2G07785,0.2284
AT2G18140,0.6914
AT2G18150,0.42705000000000004
AT2G18560,0.1375
AT2G19500,0.2284
AT2G22650,-0.2553
AT2G23630,0.4504
AT2G27150,0.2284
