panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
gehring_L1_tissue,Endosperm,AT3G48300,12,5.805100440979004,0.0,73.45793914794922
gehring_L1_tissue,Endosperm,AT1G78760,13,5.309441566467285,0.0,70.85443878173828
gehring_L1_tissue,Endosperm,AT3G26744,14,3.1928229331970215,0.0,70.56456756591797
gehring_L1_tissue,Endosperm,AT1G67090,15,2.3129212856292725,0.0,69.1624526977539
gehring_L1_tissue,Endosperm,AT5G07260,16,5.175012588500977,0.0,68.15174865722656
gehring_L1_tissue,Endosperm,AT3G23090,17,4.973935604095459,0.0,67.24830627441406
gehring_L1_tissue,Endosperm,AT3G27785,18,5.818353176116943,0.0,67.00375366210938
gehring_L1_tissue,Endosperm,AT4G14140,19,6.746718406677246,0.0,66.98616790771484
gehring_L1_tissue,Endosperm,AT5G38170,20,3.1443932056427,0.0,66.63897705078125
gehring_L1_tissue,Endosperm,AT4G18020,21,3.4691011905670166,0.0,66.4365234375
gehring_L1_tissue,Endosperm,AT2G37025,22,5.7286696434021,0.0,64.24047088623047
gehring_L1_tissue,Endosperm,AT5G63700,23,2.9899256229400635,0.0,61.22740173339844
gehring_L1_tissue,Endosperm,AT1G33055,24,5.2621893882751465,0.0,59.790863037109375
gehring_L1_tissue,Endosperm,AT3G54320,25,2.681818962097168,0.0,59.09823989868164
gehring_L1_tissue,Endosperm,AT5G66570,26,2.4535934925079346,0.0,58.94123077392578
gehring_L1_tissue,Endosperm,AT5G63530,27,2.4625566005706787,0.0,58.76268005371094
gehring_L1_tissue,Endosperm,AT3G14205,28,2.4716126918792725,0.0,58.14828109741211
gehring_L1_tissue,Endosperm,AT3G43690,29,2.458069324493408,0.0,57.909873962402344
gehring_L1_tissue,Endosperm,AT1G34460,30,2.381481647491455,0.0,57.717952728271484
gehring_L1_tissue,Endosperm,AT1G15290,31,2.4206507205963135,0.0,56.48869323730469
gehring_L1_tissue,Endosperm,AT5G50090,32,4.865118026733398,0.0,56.13994216918945
gehring_L1_tissue,Endosperm,AT5G52330,33,4.160633087158203,0.0,55.94889831542969
gehring_L1_tissue,Endosperm,AT4G33270,34,4.462302207946777,0.0,55.19329833984375
gehring_L1_tissue,Endosperm,AT1G77580,35,3.5004265308380127,0.0,55.04695510864258
gehring_L1_tissue,Endosperm,AT2G35880,36,3.3510448932647705,0.0,54.40620040893555
gehring_L1_tissue,Endosperm,AT3G11180,37,5.574482440948486,0.0,54.06423568725586
gehring_L1_tissue,Endosperm,AT1G15150,38,4.588047027587891,0.0,53.75486755371094
gehring_L1_tissue,Endosperm,AT5G25900,39,2.707803249359131,0.0,53.372825622558594
gehring_L1_tissue,Endosperm,AT1G68510,40,3.8458681106567383,0.0,52.47521209716797
gehring_L1_tissue,Endosperm,AT1G78520,41,5.198018550872803,0.0,52.089759826660156
gehring_L1_tissue,Endosperm,AT2G44470,42,1.9670761823654175,0.0,51.7838134765625
gehring_L1_tissue,Endosperm,AT3G47470,43,2.46205472946167,0.0,51.75556945800781
gehring_L1_tissue,Endosperm,AT5G50770,44,2.520263433456421,0.0,51.54489517211914
gehring_L1_tissue,Endosperm,AT1G33050,45,3.0403313636779785,0.0,51.30577850341797
gehring_L1_tissue,Endosperm,AT3G51740,46,5.396628379821777,0.0,50.80830001831055
gehring_L1_tissue,Endosperm,AT1G62310,47,1.6957117319107056,0.0,50.799522399902344
gehring_L1_tissue,Endosperm,AT4G35730,48,5.256601333618164,0.0,50.78085708618164
gehring_L1_tissue,Endosperm,AT1G79245,49,1.5645619630813599,0.0,50.747440338134766
gehring_L1_tissue,Endosperm,AT2G34315,50,6.005023956298828,0.0,50.58715057373047
gehring_L1_tissue,Funiculus,AT3G04280,1,3.6652283668518066,1.8251120635152822e-126,24.337787628173828
gehring_L1_tissue,Funiculus,AT5G59320,2,3.067991256713867,2.8338981472645513e-115,23.227092742919922
gehring_L1_tissue,Funiculus,ATMG00020,3,1.3022340536117554,9.576584110681915e-114,23.05777359008789
gehring_L1_tissue,Funiculus,AT5G59310,4,4.691609859466553,3.9221836245243955e-102,21.85670280456543
gehring_L1_tissue,Funiculus,AT3G60160,5,3.5677876472473145,4.664136258374855e-97,21.306047439575195
gehring_L1_tissue,Funiculus,AT5G47370,6,4.2266693115234375,4.6424640640745305e-83,19.729999542236328
gehring_L1_tissue,Funiculus,AT5G43700,7,5.366733074188232,9.951738121956959e-83,19.683605194091797
gehring_L1_tissue,Funiculus,AT5G65670,8,1.848473310470581,3.481817697357478e-80,19.377649307250977
gehring_L1_tissue,Funiculus,AT1G71050,9,7.441043853759766,8.858612715005901e-76,18.84210968017578
gehring_L1_tissue,Funiculus,AT5G02380,10,3.069476366043091,1.6503174539362818e-75,18.803565979003906
gehring_L1_tissue,Funiculus,AT3G48230,11,3.414077043533325,1.0871506692008665e-63,17.290143966674805
gehring_L1_tissue,Funiculus,AT4G40010,12,3.4895126819610596,2.8495404134827794e-61,16.961414337158203
gehring_L1_tissue,Funiculus,AT2G22990,13,4.8088603019714355,7.580496029114818e-60,16.759033203125
gehring_L1_tissue,Funiculus,AT1G04580,14,2.5525636672973633,3.679328169162818e-54,15.957695960998535
gehring_L1_tissue,Funiculus,AT4G18010,15,5.7093825340271,1.0320819070569171e-44,14.532821655273438
gehring_L1_tissue,Funiculus,AT4G22570,16,2.9238204956054688,4.824726440069441e-43,14.263105392456055
gehring_L1_tissue,Funiculus,AT3G15353,17,4.249731063842773,1.0822561342846398e-42,14.202839851379395
gehring_L1_tissue,Funiculus,ATMG01390,18,1.8079688549041748,2.5396998084734284e-42,14.139341354370117
gehring_L1_tissue,Funiculus,AT5G02230,19,3.537550449371338,4.693341601592917e-38,13.4232759475708
gehring_L1_tissue,Funiculus,AT5G19140,20,2.4974522590637207,2.1411556529928692e-36,13.133842468261719
gehring_L1_tissue,Funiculus,AT1G03170,21,6.144002437591553,3.044489579073998e-36,13.103939056396484
gehring_L1_tissue,Funiculus,AT5G53460,22,1.4622611999511719,1.6526509837209128e-35,12.97182846069336
gehring_L1_tissue,Funiculus,AT1G68800,23,5.856963634490967,8.419973264537505e-35,12.84340763092041
gehring_L1_tissue,Funiculus,AT5G09440,24,5.627236366271973,9.076406724700801e-35,12.834672927856445
gehring_L1_tissue,Funiculus,AT4G37050,25,2.0215187072753906,1.5753534398545278e-32,12.423251152038574
gehring_L1_tissue,Funiculus,AT4G02940,26,2.4196784496307373,2.823256386339536e-32,12.371147155761719
gehring_L1_tissue,Funiculus,AT5G25280,27,1.859797716140747,3.6124867835686695e-32,12.34877872467041
gehring_L1_tissue,Funiculus,AT2G16990,28,2.2083566188812256,7.69929157937067e-32,12.285255432128906
gehring_L1_tissue,Funiculus,AT3G04300,29,4.034921646118164,1.294234164239682e-31,12.238408088684082
